stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,2.71,0,0,0,0,0,18,0,0,363.1,2.4,0.85,0,0,1.49,0,0
 24-34,0,0,6.56,0,0,14.89,88.02,0,0,0,0.59,0,0,0,0.66,0,0,0,3.28,22.11,0,0,29.07,148.53,0,1.98,1.03,0,0,21.81,0,0,816.51,3.16,13.21,0,0,2.79,0,9.44
 36-46,0,0,8.35,0.76,0,24.17,848.4,0,1.86,5.33,0,0,0.57,0,0,0,0,0,0,12.26,1.37,0,49.13,211.47,0,2.96,3.42,0,0,26.68,0,0,1599.27,0.56,41.09,0,0,1.33,0,3.99
 48-58,0,0,17.71,0,0,285.73,1511.4,6.86,4.55,42.46,0,0.57,0.89,1.69,2.63,3.92,1.98,0,31.28,98.74,2.63,4.78,101.45,740.46,0.51,1.77,7.04,4.77,0,28.13,0,0,1632.31,0,174.97,0,0,4.77,0,45.91
 60-70,0,0,16.72,5.33,0,271.04,1436.45,1.62,8,53.54,1.72,0,0,12.3,3.07,0,1.24,3.58,0,81.95,4.33,7.14,75.96,598.49,0,0.99,10.55,1.62,9.77,48.95,0,0,982.91,0,83.39,0,0,10.51,3.38,23.51
 72-82,0,0.76,35.66,45.28,0,350.81,1147,5.36,2.38,49.37,0.53,0,0,5.59,0,5.67,2.47,13.71,0.57,115.5,0.73,10.15,98.63,487.49,0,4.03,5.6,4.01,0,15.53,0,1.24,368.74,0,32.96,1.68,1.96,21.36,2.24,49.36
 84-94,0,1.26,26.65,53.12,0,445.22,1868.03,6.27,8.14,112.13,6.15,0,4.28,5.73,3.77,6.89,2.83,22.47,1.91,195.84,0.57,12.05,74.2,581.38,0,6.35,19.23,0,0,96.18,0,0,681.11,0,87.7,2,3.21,21.17,5.01,24.27
 96-106,0,0,78.31,182.15,13.71,838.84,3423.41,35.01,48.15,130.99,2.07,0,9.03,16.14,5.78,19.01,8.71,25.84,7.32,299.29,16.09,6.21,201.17,987.42,5.47,21.45,34.45,1.2,0,153.67,0,0,541.37,0,58.91,3.94,10.31,53.75,11.88,38.56
108-118,0,0.85,45.38,18.34,4.18,534.34,2711.69,8.9,4.11,66.53,10.7,0,2.18,13.41,1.79,12.1,2.33,41.03,3.83,249.65,0,6.85,254.89,801.65,2.82,4,19.35,0,15.13,53.56,0,5.07,380.75,0,41.82,0,5.35,38.2,3.2,18.14
120,0,0,30.55,29.69,5.92,248.11,1540.37,4.47,3.13,71.58,1.18,0,0,7.58,0,0,6.57,23.67,0,131.45,0,4.59,224.53,700.89,0,0,19.41,0,0,20.08,3.36,5.04,126.06,0,5.96,0,20.24,25.05,0,0
