stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,164.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361.96,0,0,0,0,0
  5-6,41.79,223.46,0,0,0,0,0,0,0,0,21.16,0,0,0,0,0,0,0,24.17,0,0,0,21.54,3106.83,0,0,0,0,0
  7-9,13.55,0,7.09,0,0,29.92,0,0,0,0,1166.47,0,0,0,0,0,0,0,169.44,0,0,0,81.97,379.29,0,0,0,0,0
 10-12,7.59,0,0,0,16.39,3.13,0,0,0,0,516.64,0,0,0,0,0,0,0,125.3,5.03,0,0,7.54,99.08,0,0,0,0,0
 14-21,0,0,0,5.44,0,0,0,0,0,0,31.41,0,5.05,0,0,0,2.19,0,10.76,0,5.23,0,0,162.86,0,0,1.04,0,0
 24-34,0,0,1.51,11.68,0,1.17,0,0,0,2.82,10.02,0.6,12.89,4.36,0,0,16.42,0,26.82,0,3.51,0,0,286.96,0,1.57,3.31,0,0
 36-46,0,0,0,3.57,0,0,0,0,0,1.79,0,0,7.9,6.17,0,1.64,2.32,0,67.23,0,1.32,0,0,190.97,0,0,1.99,0,0
 48-58,0,0,0,2.88,0,2.19,0,0,3.15,0.38,3.13,0,6.21,5.17,0,0.74,14.48,0,35.5,0,2.12,0,0,93.2,0.37,0,4.03,0,0
 60-70,0,0,0,10.71,0,6.99,1.7,0,7.28,0,0,0,2.33,8.54,0,2.21,8.27,1,28.83,0,0.7,1.55,0,185.91,0,0,0,3.82,0
 72-82,0,0,0,10.23,5.11,13.2,3.84,0,8.02,15.86,1.6,0.55,0.73,21.57,0,1.27,4.43,0,37.29,0,1.98,0,0,84.99,0,0,0,10.27,0
 84-94,0,0,0,18.75,0,0.65,2.93,1.66,8.79,1.13,7.03,0,4.04,11.41,0,1.03,10.84,0,51.54,0,0.65,0,0,278.21,6.42,0,0,19.41,0.64
 96-106,0,0,0,34.29,0,0,0.64,0,3.88,4.31,0,0,8.01,18.45,0,7.39,22.51,0.8,4.83,0,3.94,0,0,268.99,0,0,0,23,0
108-118,0,0,0,36.99,0,5.86,3.45,0,17.9,10.43,0,0,5.89,24.01,0.6,0,10.9,3.07,28.31,0,1.94,0,0,160.84,0.86,0,0,23.92,0
120,0,0,0,60.18,0,4.51,7.15,0,16.22,7.63,0,0,1.63,15.15,0,0,20.16,2.33,1.96,0,1.11,0,0,170.45,0,0,0,44.2,0
