stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,0,85.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,80.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,0,0,0,4.6,0,0,0,0,72.47,25.86,0,0,0,0,0
 10-12,0,4.52,13.79,0,0,4.54,0,0,0,0,64.16,27.89,0,4.56,19.49,0,0
 14-21,0,0,0,1.93,1.68,1.19,0,0,2.29,0,12.73,0,0,4.18,0,3.64,0.99
 24-34,0,0,0,0,0,0.67,0,0.78,0.77,0.63,18.58,0,0,0,0,3.83,0
 36-46,0,0,0,0,0,2.06,0,0.63,0.83,0,9.76,0,0,0,0,0,0
 48-58,0,0,0,0,0,6.32,0,4,0.43,0,5.64,0,0,0,0,1.57,0
 60-70,0,0,0,0,0,8.46,0,0,0,0,1.67,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.87,0,1.31,1.37,0,7.66,0,0,0,0,4.3,0
 84-94,0,0,0,0,0,0,0,0,1.19,0,1.48,0,0.97,0,0,3.74,0
 96-106,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.18,0,0,6.62,0,0,0,0,0,0
