stage,epidermis,eye,fin.epithelia,glial,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,pronephros,slow.muscle,spinal.cord
  7-9,0,0,0,0,0,0,0,13.11,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.09,0,0,0,0,0
 14-21,0,0,0,0,0,0.82,0,0.86,0,0,0,0,0
 24-34,0.68,0,0,0,0,0,0.97,5.82,0,0.72,1.04,0,0
 36-46,0,0,0,0,0,0,0,5.57,0,0,0,0,1.82
 48-58,0,3.13,0,2.38,0,0.5,0.72,5.65,0.77,0,0,1.55,2.16
 60-70,0,2.99,6.21,0.63,0,0,0,13.23,1.42,0,0,0,1.24
 72-82,0.67,5.04,0,0,0,0,0,19.32,0,0,0,0,0
 84-94,0,0,0,0.61,0,6.71,0,1.88,0,0,0.64,0,0
 96-106,0,5.53,0,0,0,5.73,0,0,0,2.3,0,0,0
108-118,0,3.62,0,0,2.86,0,0.49,3.67,0,4.13,0,0,0
