stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.6,152.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,215.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.67,0,0,0,0,0,8.51,0,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,77.34,0,0,0,18.07,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.32,0,19.27,0,0,71.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.91,3.17,0,0,90.75,0,0,4.37,0,11.24,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,1.03,43.69,9.59,1.7,1,0,1.25,3.65,0,0.97,0,0,0,0,0,5.95,0.95,0,3.3,46.37,0,0,0.87,0,0,0,0,8.72,2.92,0,9,13.93,0,0,1.01,0,0
 24-34,0,0,0,0,3.45,0,4.91,0.59,0.76,2.2,0,0,3.37,0,1.56,0,0,2.35,7.58,0,0,5.64,95.17,0,0.75,0.69,0,0,2.17,0,2.17,0,0,0,9.62,0,0,8.65,0,0
 36-46,0,0,0,0,0.76,0,5.63,1.05,0,9.12,0,0,0,0,0,0,0,0,9.07,0,0,0,82.86,0,1.94,0,0,0,3.4,0.81,0,0,0,0,17.1,0,0,7.02,0,0
 48-58,0,0,0,0,6.08,0,74.15,1.65,1.29,21.17,0.4,0,0.55,0,0,0,0.94,6.26,29.62,0.37,2.59,2.75,183.31,0.56,0.85,1.52,0,0,10.77,0,0,0,1.57,0,48.55,0,0.42,4.94,0,0.56
 60-70,0,0,0,0,16.29,0,67.24,17.48,5.75,35.99,5.47,0,0,1.17,0,0,1.16,0,26.96,0,1.83,0,174.48,0,0,7.26,0,0,11.21,0,0,0,0,0,11.84,0.61,3.54,2.88,0,0
 72-82,0,0,0,0,4.71,0,23.88,0.55,0,11.3,7.38,0,2.22,0,0.52,0,0,0,9.58,0,0,0,60.64,0,0,0.62,0,0,0.69,0,0,0.63,0,0,4.48,0,4.86,15.19,4.28,6.24
 84-94,0,0,0.7,0,26.66,8.14,69.29,3.99,1.87,40.71,12.29,0,0,4.3,1.78,0.68,3.62,3.75,36.1,0,11.62,3.65,124.37,0,2.5,5.45,0,1.31,41.42,0,0,0,5.42,0,5.71,0.97,4.75,8.87,4.79,14.35
 96-106,0,0,0.83,0,1.31,0.7,26.71,0,0,1.31,9,0,1.9,0.78,0,0.87,0,0,7.17,0,2.74,0.59,29.78,0,0.74,2.02,0,0,3.92,0,0,0,0,0,0,0,0,6.11,1.34,0
108-118,0,0,0,0,29.64,0,38.4,3.65,0.46,19.02,10.84,0,1.04,4.49,1.47,0.44,1.11,0.9,25.6,4.19,1.63,3.06,147.15,0.9,2.94,1.33,0,5.61,19.69,0,0,0,0,0,3.82,1.24,1.98,14.34,3.55,0
120,0,0,0,0,20.49,0,25.68,8.47,1.6,58.77,12.61,0,0,6.08,0,0,0,0,39.31,0,0,0,166.5,0,3.57,2.87,0,0,13.23,0,0,0,0,0,14.95,0,0,8.2,17.73,0
