stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,25.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,12.84,9.37,0,0,10.77,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.17,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,1032.1,0,0,1.24,0,0,1.59,1.2,0,5.07,624.59,0,0.99,0
 24-34,0,0,0,12.6,0,0,15.32,0,0.78,4.25,0.63,0,0,2.09,0,0,0,0,0,8.79,1.03,8.56,1671.48,0.73,2.23,0,0,0,2.8,0,0,7.75,874.26,0,4.28,3.46
 36-46,0,0,0,0,0,0,17.37,0,0.6,6.54,0,0,0,0,0.56,3.61,0,6.07,0,5.53,0,1.56,1475.57,0,1.64,0,0,0,4.85,0,0,0,981,0,10.69,0
 48-58,0,0,0.4,0,0,0,43.71,0,0,8.15,0,0,0.48,0,0,0,0,0,1.58,10.27,0,2.45,721,0,0,1.18,0,0,0.47,0,0,0,429.31,0,0.47,5.26
 60-70,0,0,0,0,0,0,33.48,1.1,0,11.85,0,0,0,0,0,0,0,0,0,1.94,0,0,704.42,0,1.17,0,0,0,0,0,4.15,0,241.6,0,0,0
 72-82,0,1.77,0,12.35,4.24,0,104.88,0.66,0,28.68,0,0,0,0,0,1.22,0.61,0,0,17.11,0,0,957.78,0,0,0.9,0,0,5.02,0,0,0,177.86,0.74,0,2.95
 84-94,0,1.26,0,2.55,0,0,55.59,0,0,9.84,0,0,0,0,0,0,0,0,0,5.17,0,0,641.29,0,0,0,0,0,3.35,0,0,0,121.82,0,0,0
 96-106,0,1.28,0,7.76,0,0,97.99,0,6.62,38.91,0.87,0,0,0.6,0,1.03,0,6.59,0,12.21,0,1.93,724.23,0,0,0,0,3.28,0,0,0,0,84.01,0,0.88,0
108-118,0,0,0,2.3,1.93,6.86,141.55,0,0,51.09,0.65,0,0,0,0,0,0,0,0,5.95,2.25,0,1031.13,0,1.07,0,0,0,0,0,0,0,99.4,0.89,0,0
120,0,0,0,3.24,0,0,191.04,0,0,82.77,0,0,1.85,0,0,0,0,1.82,0,12.23,0,4.09,1842.54,2.06,0,0,0,0,0,0,0,0,104.51,0,0,0
