stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pronephros
  3-4,0,123.18,0,0,0,0,0,0,0,0,0
  5-6,7.63,243.57,0,0,0,0,14.14,0,11.61,0,0
  7-9,13.29,14.63,10.12,0,8.19,0,268.68,7.9,83.4,3.29,0
 10-12,0,14.73,40.35,4.74,27.88,13.06,385.33,0,143.05,0,27.72
 48-58,0,0,0,0,0,0,0.73,0,0,0,0
