stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,15.7,366.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.79,0,0,0,0,0,0,0,0
  5-6,24.94,479.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.04,0,0,0,8.27,6.25,0,0,0,0,0,0,0,0
  7-9,30.52,30.92,0,3.57,0,0,0,46.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.33,8.45,0,0,87.34,0,0,0,0,0,0,0,0,0
 10-12,0,15.54,0,22.67,0,0,0,35.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.43,0,0,0,149.94,0,0,4.37,0,0,0,0,0,0
 14-21,0,0,0,0,1.66,4.02,0,2.26,0,0,4.88,0,0,0,0,0,0,0,4.06,0,0,0.87,16.92,0,0,0,0,0,2.87,0,1.15,3.82,11.4,0,0,0
 24-34,0,0,0,0,3.61,1.97,0,3.67,0,0,1.38,0,0,0.75,0,0,0,0,1.03,0,0,1.94,67.74,0,0,0,0,0.77,0,0,0,0,15.68,0,1.07,0
 36-46,0,0,0,0,0.76,0,0,23.67,2.6,2.67,4.61,0,0.57,0.77,0,0,0,0,1.77,0,0,1.31,51.36,0.64,1.48,0,0,0.86,0,0,2.35,0,15.57,0,0.57,0
 48-58,0,0,0,0,0,2.46,0,15.27,0,0,9.61,0,0,6.79,0,0,0,0,5.07,0,0,1.3,46.95,3.14,0,0.38,0,2.15,0,0,0,0,5.89,0,5.99,0
 60-70,0,0,0,0,1.34,0.57,0,33.33,0,2.3,9.16,0,0,0,0.61,0.79,0,0,2.83,0,0,0,42.91,0,0,0,0,1.49,0,0.68,0,0,14.68,0,0,0
 72-82,0,0,0,0,3.23,0,0,16.96,0,0,13.16,0,0.61,0,0,0,0,0,3.78,0,0,0,36.84,0,0.88,0,0,3.77,0,0,0,0,0,0,0.83,1.49
 84-94,0,0,0,0,4.28,1.3,0,48.82,0,0,2.44,1.25,0,0.91,0.7,0.65,24.28,0,7.76,1.39,9.81,0,27.94,0,10.56,0,0,0.66,0,0,0,0,7.6,0,1.04,0.77
 96-106,0,0,0,0,0,0,0,13.91,0,0.84,3.33,0,0,0.92,0,0,0.72,0,6.83,0,0,0.82,23.5,0,1.99,0,0,3.39,0,0,0,0,0,1.2,0,0
108-118,0,0,0.8,0,0.56,1.05,2.08,8.58,0,0,15.5,0,1.18,1.82,1.64,1.17,0.5,4.6,12.95,0,0,0.43,13.08,0,0,0,0,1.26,0,0,0,0,0,0,1.99,0
120,0,0,0,0,10.2,3.57,0,11.5,0,0,11.24,1.15,6.35,0,0,0,1.99,0,18.91,0,0,3.16,42.22,0,0,0,0,5.06,0,0,0,0,0,0,0,0
