stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,39.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.51,0,0,0,17.02,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.32,5.2,46,21.38,0,40.56,0,0,0,16.4,3.21,0,0,0,5.1,0,0,0,0,38.12,0,0,34.39,620.26,10.8,4.29,11.24,2.02,0,6.93,49,8.41,3.44,67.12,157.63,0,0,2.86,0,0
 24-34,0,1.37,2,13.3,0.99,0,60.81,0,0.71,0,7.56,0,0,0,0.6,4.88,0,0,0.68,0,30.81,0.95,0,11.6,765.77,0.65,3.31,11.43,0,0,11.91,0,0.73,10.68,3.42,163.63,0,0,5.81,0,0
 36-46,0,0,0.56,7.31,0,0,103.38,0.59,0,0,36.54,1.23,0,0,3.99,3.09,3.2,1.39,2.29,0.58,53.42,0,0.57,43.35,646.68,10.31,0.6,6.26,0,0,12.52,0,2.89,0,0,165.67,0,0,2.17,0,1.47
 48-58,0,0.55,0,7.02,2.3,0,227.62,3.17,8.45,4.49,67.67,0.61,1.64,0.66,0,0.39,0.8,1.46,0,0.74,107.22,0.5,1.75,19.87,431.11,0.4,3.53,4.44,0,0,12.77,0,3.32,0,0,113.35,0,0,4.2,0,0
 60-70,0,0.57,0,21.02,7.88,0,238.51,1.17,11.09,6.12,51.25,8.45,0,1.53,2.17,6.24,0,1.93,4.11,0,79.82,0,10.37,16.87,247.21,2.05,0.96,8.85,0,0,13.39,0,6.55,2.72,0,50.98,0,0,2.6,0,4.23
 72-82,0,1.12,0.75,10.21,44.29,0,225.28,1.09,4.04,4.43,70.81,3.74,0.5,1.12,25.23,1.29,0.72,1.23,0.78,0,141.03,0.83,3.17,13.48,262.09,1.77,9.31,6.32,0,5.98,13.73,0,0,0.79,0,32.76,7.39,3.36,7.51,4.18,13.3
 84-94,0,2.87,0,25.45,58.29,0,199.9,0,2.58,14.25,69.75,8.31,0,2.41,18.78,10.36,5.47,2.42,4.52,0.95,127.94,4.69,7.45,20.97,208.92,1.96,4.78,7.22,0,3.49,53.64,0,3.61,0,0,23.55,1.57,1.31,10.61,3.11,10.01
 96-106,0,0,0,8.81,55.82,0,105.76,0,5.91,2.73,61.87,2.4,0,2.93,16.91,11.17,1.52,1.34,4.62,0,150.76,2.38,1.59,19.1,203.85,0,11.09,11.13,0,0,41.83,0,5.4,0,0,16.88,4.54,1.58,6.51,2.6,1.41
108-118,0,3.04,0,25.82,46.13,18.12,128.99,1.77,12.46,10.48,63.53,9.33,0,0,20.99,11.75,1.92,1.71,14.4,2.46,152.96,5.94,5.09,12.51,300.66,4.2,13.27,9.11,0,7.59,49.78,0,2.68,0,0,9.29,1.81,0,7.85,3.09,3.54
120,0,0,0,61.31,68.81,1.61,67.51,0,9.24,0,19.66,4.57,0,4.47,9.95,2.19,4.88,2.98,1.99,1.33,83.83,1.1,0,19.79,218.29,5.98,14.18,9.81,0,0,14.46,0,8.75,0,0,3.5,0,2.55,7.72,1.05,0
