stage,epidermis,eye,glial,gut,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,spinal.cord,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0
 14-21,0,0,0,0,0,0,0,0,0.83,1.32,0,0,0,0
 24-34,2.72,0,0,0,0,5.22,0,0,0,5.39,0,13.34,0.75,1.04
 36-46,0,0,0,0,0,1.83,1.65,0,0,10.61,0,23.24,0,0
 48-58,0,0,0.76,0,0,1.5,2.37,0,1.02,7.56,0,6.73,1.69,7.98
 60-70,0,0.8,1.5,1.84,0,0.86,1.15,0,0,0.88,0,7.6,0,0
 72-82,0,0,0,0,0,0,2.86,0,0,0.62,0,1.87,0,0
 84-94,2.52,0,0,0,0,4.55,3.76,0,0,0,0,0.77,0,0
 96-106,0,0,0,0,0,0,0,0,3.58,3.62,0,4.82,0,0
108-118,0,0,0.82,0,1.18,4.51,5.74,5.43,0.53,0,1.23,4.16,0,0
120,2.12,1.59,0,0,0,1.61,9.94,0,0,0,0,7.95,0,0
