stage,axial,blastomeres,erythrocytes,glial,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,7.04,47.67,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,18.89,0,0,7.65,0,0,0
 10-12,0,0,0,0,0,0,0,0,5,0,0,0
 14-21,0,0,0.86,1.22,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,2.08,0.83,0.73,0,0,0,0
 36-46,0,0,0,0,0,0.67,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.59,0
 60-70,0,0,0,0,1.18,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.43,0,0,0,0.57,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.6
108-118,0,0,0,0,0,0.49,0,0,0,0,0,0
