stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,3117.17,50902.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2375.76,0,0,0,0,0,0,0,0,0,0,0
  5-6,5006.02,56310.06,0,56.84,0,0,0,0,0,0,0,0,0,261.45,0,0,0,0,0,0,0,0,0,0,0,1744.94,166.76,0,0,496.37,1416.02,0,0,0,0,0,0,0,0,0,0,0
  7-9,530.32,507.47,0,704.79,0,0,0,490.66,0,0,0,0,0,457.14,0,0,0,0,0,0,0,0,0,0,0,11346.9,279.84,0,0,3863.12,16.29,226.43,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.07,0,55.03,0,0,0,28.62,0,0,0,0,0,13.31,0,0,0,0,0,14.36,0,0,0,0,0,555.67,28.44,0,0,187.75,0,143.2,0,3.68,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.08,30.8,2.08,0,14.68,0,0.91,0,3.01,0,0,6.6,0,0.84,0,0,246.98,4.87,16.07,0,0,31.73,450,8.06,1.51,931.65,1.83,1,15.76,44.34,1.68,59.92,7606.78,88.37,0,0,1.55,0,0
 24-34,0,0,0,0,9.7,0,0,14.33,0,1.45,0,78.6,0,0,22.3,0,8.19,0,2.99,27.86,3.22,29.12,1.24,0,52.77,603.14,3.27,22.4,538.39,1.99,6.75,0,5.59,0,1.62,2008.65,20.65,0,0,5.24,0,4.43
 36-46,0,0,0.85,0,2.87,0,0,235.9,3.59,0.68,1.15,587.27,0.59,7.97,9.38,0.69,15.23,0,2.67,6.14,1.25,87.92,0,0,87.25,745.6,0.56,44.02,311.64,0,0.59,3.47,11.89,3.56,0.84,35.36,140.91,0,0,2.46,0,12.44
 48-58,0,0,0,0,1.59,0,0,593.49,16.48,0.62,1.47,1583.82,0,0,7.97,0,8.67,0,2.27,21.05,7.77,208.91,1.44,0,228.18,593.53,2.54,26.95,267.3,0,0,1.31,0,0,0,0,368.16,0,0,7.41,0,12.97
 60-70,2.52,0,0,0,6.34,0.6,0,1426.83,41.3,6.53,11.28,4205.14,0,0,19.44,3.69,9,1.16,0,4.84,17.47,329.64,0,0,232.46,467.48,0,32.75,156.55,0,5.51,0,0,0,3.48,0,184.33,0,1.5,0,0,19.71
 72-82,0,0,2.7,1.68,36.29,2.69,1.16,3229.72,25.77,5.83,8.52,6846.13,4.27,0,41.44,4.76,16.59,1.43,6.48,20.57,0.49,507.57,9.6,9.2,306.7,682.52,0.67,76.43,361.67,0,5.7,0,0,0.76,0,0,84.48,0.87,4.84,12.72,0,19.47
 84-94,0,0,0,0,50.33,0,1.39,2549.74,23.82,3.85,10.75,4934.89,2.22,0,37.95,0.7,15.16,10.4,10.12,4.22,3.36,327.66,4.58,15,329.26,584.51,0.57,48.91,417.56,0,13.16,0,0,0,11.74,0,92.73,2.03,2.18,25.83,6.75,9.26
 96-106,0,0,0,0,96.03,6.97,0.97,3534.94,38.87,11.43,8.29,7668.85,4.83,0,50.48,5.23,14.8,8.25,14.62,24.98,0,309.94,2.06,9.76,394.28,799.14,4.21,137.41,450.93,0,27.27,0,0,0,4.92,0,40.81,0,0.58,40.92,5.14,4.53
108-118,0,0,0,0,48.01,4.47,0,3480.89,13.23,4.77,0,7733.37,7.35,0,47.21,8.21,17.31,8.65,8.02,23.56,8.89,217.81,1.14,5.19,507.99,987.84,3.79,86.62,462.5,0,6.7,0,0,5.93,2.94,0,46.26,6.56,11.09,93.37,2.37,15.46
120,0,0,0,0,73.59,12.84,2.19,2246.31,36.96,9.55,2.41,6753.01,1.21,0,23.11,1.01,11.4,10.11,34.01,9.22,7.7,247.03,0,4.95,450.36,1368.23,13.24,46.65,264.74,0,5.6,0,0,0,1.99,0,69.5,0,14.25,34.22,0,11.55
