stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.63,0.72,0,0.75,0,0,0,0,0
 36-46,0,0,8.06,0,0,0,0,0,0,0,0,1.21,0,0,0,0,1.08,0
 48-58,0,0,8.76,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,70.3,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0
 72-82,0,0,268.62,0,0,0,0,0,0,2.56,0,15.88,0,0,0,0,4.74,0
 84-94,3.42,0,369.7,0,0,0,0,0.76,0,0,0,2.41,0,0,0,0,0,0
 96-106,12.43,0,377.11,0.86,0,0,0.72,0,1.14,2.08,0,8.16,1.99,0.6,0,1.45,0,0
108-118,1.26,3.53,540.2,0.7,0,0,1.81,0,0.6,1.1,0,12.65,0,0,0,0.45,0,7.06
120,2.22,15.5,711.33,0,3.99,0,3.6,0,0,0,1.66,32.13,0,0,0,0,0,0
