stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,133.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0,0,0,0
  5-6,0,169.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,16.74,0,0,0,0,0,0,0,0
  7-9,0,0,8.92,0,0,7.61,0,0,0,0,8.56,0,0,0,0,0,0,0,82.16,3.62,0,26.1,0,0,0,0,0,0,0,0,0
 10-12,0,7.29,0,0,0,6.72,0,0,0,0,9.04,0,0,0,0,0,0,0,194.34,44.92,0,35.72,0,5.95,0,18.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,1.58,5.81,229.55,0.86,1.12,0,0,2.39,0,0,6.78,0,0,0
 24-34,0,0,0,5.35,0,3.22,0,0,0.81,0,0,0,0,0,3.57,0,0,2.09,49.7,441.9,0,0,0.6,0,0,0,0.62,3.62,0,1.6,0
 36-46,0,0,0,1.61,0,0.64,0,0,1.45,0,0,0,0,0,2.7,0,0,0,15.37,316.23,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,6.36,0,2.88,0,0,1.67,0,0,0,0.73,0,2.97,0,0,0,16.35,246.9,0,0,5.16,0,0,2.01,0,5.25,0,6.94,0
 60-70,0,0,0,0.69,0,1.43,2.18,0,1.39,0,0,0,0,1.45,8.62,0,1.7,0,18.9,185.55,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.36,44.88,0,0,6.5,0,0,0.63,0,0,3.59,0.55,0.51,3.83,14.04,73.28,0,0,0.59,0,0,0,0,1.86,0,2.6,0
 84-94,0.62,0,0,3.12,0,8.74,0,0.78,0.79,0.69,0,0,0,0,12.78,0,0,2.25,9.78,139.06,0,0,0,0,0,0,0,0,0,4.23,0
 96-106,0,0,0,1,1.27,22.33,3.86,0,0,0,0,0.77,0,0,2.02,0,0,5.52,21.98,102.93,0,0,3.78,0,0,0,0,0,0.62,3.87,0
108-118,0,0,0,0.45,0,30.05,0,0,13.34,0.42,0,0,0,0,16.82,0,0,1.08,23.1,141.86,0.52,0,0.93,0,0,0,0,0,0,1.58,1.9
120,0,0,0,2.37,0,57.3,0,0,8.95,0,0,0,0,0,0,0,0,0,57.14,219.49,0,0,0,0,0,0,0,0,0,3.16,0
