stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.94,7.19,2.23,0,41.87,0,0,0,9.49,0.94,0,0,0,0,0,0,0.92,4.69,4.93,0,6.73,155.8,1.23,1.04,5.78,0,0,2,1.73,6.68,82.19,0,0,1.18,0,3.56
 24-34,1.95,5.52,0.61,0,53.69,0,0,0,9.78,0.69,0,1.16,0.6,1.36,0,0.63,1.64,0,17.25,0,11.86,336.99,0.6,4,2.6,0,3.62,0,0.7,2.01,57.84,0,0,13.51,0,8.43
 36-46,0,0.7,0,0,34.44,0,0.79,0,17.28,0,1.26,0,0,0,1.88,0,0,0,15.43,0,2.36,179.26,3.61,0,3.3,0,3.98,0,0,0,41.91,0,0,13.46,0,24.69
 48-58,0,7.56,0,0,40.39,0,0,0.44,22.48,0.68,4.43,0,0.85,0,0,0,0,0,8.8,0,1.16,92.71,0,0,0.88,0,2.03,0,0,0,26.41,0,0,1.62,0,11.13
 60-70,0,15.23,0.69,0,116.34,0,0,0,22.68,0,0,1.47,3.14,0,10.79,0,0,1.95,60.01,0,9.84,130.22,0,0,5.03,1.9,3.64,0,0,0,28.66,0,0,20.98,1.54,10.35
 72-82,0,2.84,0,0,92.59,0,6.25,0,43.2,0.63,2.4,1.46,0,0.53,12.47,0,0,1.81,56.88,0,2.24,111.51,0,0,6.01,0,0,0,2.8,0,5.79,5.92,1.56,6.42,0.96,0
 84-94,0,12.48,0,0,85.64,0,0.56,0,26.98,0.71,2.95,0.97,0.73,5.25,9.19,0,1.15,3.15,57.58,0,0,78.14,0,0,4.09,0,28.39,0,1.82,0,11.37,4.61,1.92,13.8,0,13.39
 96-106,0,14.64,0.89,0,141.71,0,0.96,0,80.55,2.44,0,0.96,2.75,4.59,12.89,1.2,0,0,66.66,1.24,4.42,89.77,4.45,0.59,7.87,0,15.97,0,2.86,0,14.81,0,0.78,15.6,0,15.98
108-118,0,7.02,0,0,142.64,0.44,2.15,4.39,69.03,0,0,0,3.29,3.52,7.15,0.7,3.24,6.1,93.16,3.73,3.26,144.66,1.55,0.59,5.96,7.41,8.69,0,3.46,0,2.17,0,0,12.75,0.72,18.57
120,0,22.76,17.27,2.68,107.35,0,3.21,19.42,73.33,3.44,0,2.11,0,0,8.71,0,40.49,5.37,151.07,0,2.17,143.75,2.01,1.48,26.61,0,5.34,0,0,0,0,0,0,31.64,0,2.33
