stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.01,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,9.82,0,0,3,1.63,10.36,0,0.9,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,30.48,0,0,2.15,2.79,14.24,0,9.23,0,0
 36-46,1.03,0,0,0.8,0,0,0,2.06,0,0,0,0,0,0,10.49,0,0,0,2.37,48.72,0,3.19,0.6,0,35.07,0,7.99,0,0
 48-58,0,0,0,0.57,1.29,0,0,9.04,0,0,0,0,0,0,0,0,0,0,0,58.26,0,4.7,0,0,23.53,0,0.97,0,0
 60-70,0,3.63,0,5.08,0,0,0,6.12,0,0,0,0,0,0,0,1.11,0,0,3.98,90.91,0,5.17,0,0,30.85,0,4.46,0,0.97
 72-82,0,0,1.33,21.96,0,0,0,1.74,0,1.42,3.55,0,0,0,0,0,0,0,0,106.68,0,6.97,0,0,9.29,0,13.59,0,1.18
 84-94,0,0,0,18.97,0,0,0,3.82,0,2.85,3.94,0,0,0,1.84,0,6.36,0,1.77,73.89,1.16,15.6,0,0,8.63,0.63,21.75,0,0.62
 96-106,0,0,7,66.91,0,0,0,4.98,0,0,0.6,0,0,0,0,1.01,0,0,0,172.36,0,3.67,0.64,0,15.44,0,18.99,0,0
108-118,0,1.42,0,39.37,0,1.14,0.65,18.04,0,0,0.42,2.08,0.55,0,0,18.41,0,1.21,1.15,122.25,0.7,6.47,0,0,14.1,0,10.07,2.26,0
120,0,1.21,14.81,19.19,0,0,0,9.52,1.04,0,0,0,4.74,0,0,5.79,0,0,0,169.47,0,2.51,0,0,10.2,0,17.31,0,0
