stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.02,0,3.69,0,0,0,15.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.87,6.61,0,0,17.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.82,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.17,0,0,0,24.12,0,0,0,14.77,0,0,0,0,0,0
 14-21,0,0,0,0.81,7.83,0.83,0,2.57,0,0,0,0,0.85,2.76,0,0,0,0,0,0,0.84,0,2.14,22.1,12.32,0,0,0.84,6.32,0.9,1.01,2.15,0,11.03,0,0,0,0
 24-34,0,0,0,0,3.42,0,0,4.78,0,0,28.6,0,1.02,0.75,0,4.97,0,0,0,0,6.57,0.81,5.71,70.85,113.12,0.69,0.64,0,11.35,0,0,0.6,1.81,33.13,0,0,0,0
 36-46,0,0,0,0,0.89,0,0,19.61,0,5.23,85.13,2.83,0,0.93,0,0,0,0,0,0,53.66,0.99,4.01,81.5,245.8,1.39,1.05,0,22.87,0.81,0,0.79,0,88.8,0,0,1.91,0
 48-58,0,0,0,0,0.76,0,0,72.76,0,6.93,35.69,7.37,0,0.45,0,0,1.96,0,0,0.58,4.88,0.95,0,59.04,87.23,0,0,0,5.72,0,0,0,0,384.94,0,0,0,0
 60-70,0,0,0,0,1.44,0,0,456.07,0,0,27.89,5.94,2.06,0,0,0,0,0,0,0,4.29,0,3.47,41.36,0,0,0,0,5.15,0,0,0,0,198.09,1.61,1.59,0,0
 72-82,0,0,0,0,0,0,0,522.96,0,0,38.2,1.7,2.04,0,0.61,0.61,0,0,0,0,56.58,0.89,0,71.02,52.34,1.12,1.4,0,3.28,0,0,0.55,0,146.04,31.62,0,3.5,0
 84-94,0,0,0,0.59,13.91,5.05,0,584.75,0,0,5.28,8.75,2.33,4.19,1.23,0,0,0.66,0,1.05,137.89,1.61,0.83,23.6,0.72,4.15,0,0,7.02,0,0,0,0,58.73,121.68,0,1.58,0
 96-106,0,0,1.08,0,11.61,0,0,358.8,0,3.3,6.19,15.82,2.47,0,3.68,0,0,1.33,0,0,96.29,0,1.04,25.89,178.91,0.56,2.87,0,11.35,0,0,0,0,280.02,116.93,54.73,0,5.14
108-118,1.68,0,2.59,0,7.87,2.1,4.2,271.3,0.42,4.24,4.82,2.71,2.48,0,2.97,1.19,0,0,2.08,0,125.67,0.42,8.61,52.19,342.58,1.52,0,0,13.52,0,0,0,0,27.47,114.17,0.99,2.15,1.99
120,142.08,0,0,0,52.71,1.71,0,198.94,0,1.5,11.96,0,8.33,0,7.54,0,0,0,0,0,410.31,0,3.51,27.85,231.73,0,0,0,0,0,0,0,0,43.5,58.4,0,0,0
