stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,317.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.83,0,0,0,0,0,0,0,0,0
  5-6,7.71,98.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,13.98,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.11,0,0,0,0,0,22.63,0,0,0,0,0,0,0,0,0,0,0,250.39,0,0,0,9.86,0,29.38,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.41,27.07,31.18,4.74,0,0,0,0,0,0,11.3,11.34,0,0,247.41,0,2.06,0,0,3.15,22.52,0,0.99,10.62,0,29.46,41.04,0,0,106.11,0.91,2.73,11.69,2.13,0,0,1.8,0,0
 24-34,0,0,10.02,5.49,6.47,0,0,4.79,0,7.25,0,0,3.65,1.08,0,0.8,204.83,0,27.5,1.41,0.62,3.76,25.29,0,0,100.43,5.32,130.07,136.73,0,0,174.52,0,0,38.98,3.12,0,0,11.83,0,0
 36-46,0,0,2.05,1.43,12.83,0,0,1.48,0,3.87,0,38.75,5.94,0,1.85,0,80.68,0.81,19.77,16.76,0,0,9.35,0,0,131.28,0,124.9,77.39,0,0,185.79,0,0,29.03,8.82,0,0,0,0,0
 48-58,0,0,0.87,3.06,23.36,0,0,29.11,0,1.09,0,204.41,18.84,6.73,0,0.4,102.84,3.68,23.96,27.74,0,7.79,12.97,0,0.53,188.55,0,69.97,80.82,0,0,198.63,0,0,9.98,5.78,0,0,4.18,0,0
 60-70,0,0,5.26,0,35.61,0,0.82,52.35,0,1.83,0.84,398.85,42.72,8.68,0,0,83.49,9.12,27.85,26.41,0,8.82,11.59,0,3.2,166.58,0,85.68,81.32,0,0,177.77,0,0,24.47,10.57,6.03,0,0.63,0,0
 72-82,0,0,12.39,3.85,31.92,5.38,2.14,31.24,0,2.51,0,1031.18,96.81,3.56,0,3.73,86.72,14.38,46.18,15.42,0,32.65,18.35,2.15,0.51,167.16,0,126.78,118.82,0,0,164.84,0,0,14.03,9.32,34.48,0,0,4.58,0
 84-94,0,0,10.14,7.13,106.95,0,7.5,49.15,0,5,9.18,842.52,150.25,6.35,0,0.61,144.65,2.25,54.19,29.78,0,30.13,43.98,3.7,1.44,128.69,0,112.19,123.24,0,0.6,444.54,0,0,18.17,10.9,89.68,0,2.61,0,0
 96-106,0,0,25.35,15.3,118.68,13.02,6.05,62.76,0,2.54,0,968.43,154.71,1.06,0,6.34,114.48,4.52,78.45,45.64,3.61,40.04,39.49,0.87,0.81,223.65,0,187.05,143.82,0,0,551.62,0,0,14.88,5.04,143.61,0,1.51,0.76,0.8
108-118,0,0,18.98,12.04,91.94,2.02,23.97,40.06,0.46,7.64,0,1017.8,171.64,0,0.51,5.3,90.09,9.6,74.85,42.57,0,28.33,50.65,0,0,111.05,0,141.87,151.84,0,0,340.93,0,0,18.54,5.68,167.76,2.05,2.83,0,2.22
120,1.12,0,7.8,10.09,114.99,1.71,1.6,40.76,1.18,7.75,19.42,977.6,107.98,0,0,6.06,53.02,4.46,36.79,54.65,0,47.12,24.19,0,4.44,129.64,0,130.01,172.55,0,0,254.4,0,0,2.15,0,77.4,0,7.12,0,0
