stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,33.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.04,3.14,0,0,3.98,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.29,0,0,3.91,0,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,164.78,38.74,5.52,0,0.96,0,2.64,0,0.85,90.87,0,0,0,0,0
 24-34,0,4.44,1.5,0,13.02,0,0,0,13.7,0.71,0,0,0,0.72,0,0,0,0,2.9,0,0,0,1362.42,71.81,60,16.71,0,0,0,1.59,1.19,397.6,0,0,0,0,0
 36-46,0,0.73,0.58,0,311.99,3.98,0,0,82.35,0,0,1.14,0,0,0,0,0,0,3.29,0,0,0,4855.77,69.03,98.6,4.06,0,9.7,0,0,0,914.52,0,0,7.91,0,3.7
 48-58,0,1.5,29.92,3.66,1061.41,1.37,2.58,1.02,125.03,0,0,0.59,0,2.86,5.32,0.4,0,0,24.63,0,0,1.05,4479.76,53.96,52.44,18.79,0,12.16,0,0,0,820.85,0,0,1.33,0,11.2
 60-70,0,2.66,7.32,1.42,3717.69,0,0,0.67,181.08,1.25,0,0,0.72,0,0,21.39,0,0.93,11.7,0,4.68,0,6186.04,22.46,54.53,19.14,0,0,0,0,0,908.66,0.81,0.71,3.68,0,19.2
 72-82,0,6.58,17.2,3.33,2173.77,0,0,1.3,94.7,5.46,0,0,0,0,0.64,13.72,1.6,0.85,36.32,0,1.62,5.16,2978.94,12.8,49.35,53.97,0,1.93,0,0,0,349.35,8.01,0,1.3,0.77,8.27
 84-94,0,3.23,14.22,4.49,1446.58,0,0,2.61,89.91,3.11,0,2.1,2.78,0,0.67,6.36,0,5.31,27.73,0,1.76,3.11,2192.22,20.1,23.24,51.82,0,4.2,0,0.56,0,186.69,0.6,0.9,3.8,0.64,0.88
 96-106,0,0.94,11.86,3.43,937.29,0,0,0,58.18,4.81,0,0.96,3.45,0.7,0,16.55,0.7,0,22.41,0.69,0,0,1341.87,13.74,50.17,58.63,0,15.91,0,0,0,71.56,2.97,0,0,0,7.6
108-118,0,2.31,10.62,0.6,863.47,0,0,0.5,77,0.43,0,0,2.52,2.02,2.12,13.31,0,0,11.32,0,0.62,0.86,1448.67,14.63,19.13,62.75,0,2.49,0,0,0,32.39,4.25,0,1.57,1.58,1.94
120,0,5.46,51.6,2.63,1023.41,0,3.55,0,92.44,0,0,0,2.72,2.78,0,28.9,0,0,23.91,1.65,0,1.5,2388.58,42.23,68.19,85.58,0,2.4,0,1.13,0,150.4,1.63,0,0,0,0
