stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5.8,4.73,0,0,0,0,1.23,0,0,0,0,0.92,0,0,1.02,0,0.81,0,0,21.24,0,0,0,0,4.12,0.87,4.77,0,2.92,2.9,0,0,0,0
 24-34,0,0.89,0,0,7.65,0,0,0,0,0,1.06,0,0,0.62,0,4.05,1.65,1.58,0,1.04,37.83,0,0,0.65,0,4.44,0,32,0,0,5.21,0,13.89,0,0
 36-46,0,0.57,2.45,0,1.89,0,0,0,0,0,0,0.96,0,0,0,0,0,2.82,0,0.72,39.12,0,0.65,0,0,2.02,0,4.47,0,0,3.9,0,1.14,0,0
 48-58,0,0.4,2.57,0,2.36,0.37,0.39,13.06,0.41,0,0,0.39,0,0.83,0,0,1.32,7.96,0,1.01,29.77,0,0,0.93,0,0.42,0,8.3,0,0,4.57,0,0.41,0,2.92
 60-70,0,0,3.35,0,0,0,0,21.92,1.58,0,0,0.92,0,0.61,0,2.11,0,6.96,0,0,22.76,0,0,0,0,0,0,8.31,0,0,3.99,0,1.94,0,0
 72-82,0.79,0.87,4.03,0,9.17,0,1.49,30.7,3.36,1.02,0.75,0,0,12.16,0,7.51,0,16.2,0,0,14.94,0,1.02,0,0,0,0,13.97,0,0,4.23,0,7.13,0,2.08
 84-94,0,2.02,9.46,0,2.74,0,0,16.59,14.1,0,0,5.24,2.37,2.52,0,8.04,0.67,16.12,4.91,0,16.8,0,0,0.91,1.31,2.8,0,21.02,0,0,3.7,3.16,5.53,0,0
 96-106,0,2.12,16.08,0,13.54,0,7.56,27.02,12.51,0,1.81,5.3,0,4.83,0,5.01,0,21.32,0,0,13.81,0.71,0,4.72,0,11.08,0,13.35,0,0,0,0,2.4,2.14,5.25
108-118,0,1.91,16.06,2.91,11.1,1.13,3.54,23.06,23.96,0,0,3.67,1.34,7.98,0.53,11.04,0.95,17.47,0.91,1.04,30.89,0,1.18,0.45,0,6.22,0,12.04,0.55,0,3.3,0,8.36,0.5,1.86
120,0,11.2,10.33,1.14,13.54,0,0,10.28,51.92,0,6.72,7.48,0,5.87,1.48,15.92,0,66.95,0,0,21.59,0,1.32,0,0,1.3,0,14.54,0,0,0,0,0,0,5.85
