stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,88.5,835.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0
  5-6,37.8,663.06,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,6.91,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.79,18.55,0,29.44,0,0,25.59,0,0,0,0,0,10.35,0,0,0,0,0,0,0,0,0,0,0,400.75,33.25,0,0,130.03,0,0,8.66,0,0,0,0,0,0,0,0,0
 10-12,0,12.97,0,25.79,0,0,19.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.11,34.9,0,0,110.21,0,0,14.56,0,24.86,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,9.53,0.82,10.08,0,0,0,2.52,0,0,0,0,0,0,0,0,0,8.11,0,0,4.23,120.83,2.67,1.19,1.54,0,0,0,0,10.75,2.61,13.48,38.07,0,0,2.73,0,0
 24-34,0,0,0,0,11.39,0,26.23,0,0,0,8.78,0.82,0,0,0,1.85,1.29,0,0,0,16.37,0,0,7.3,390.7,3.93,6.22,2.63,0,0,6.11,0,0,0,1.8,58.69,0,0,4.46,0,4.63
 36-46,0,0,0,0,0,4.05,49.27,0,0,0.81,11.87,0.72,0,0,0,2.49,0,0,0,0,24.7,0,0.56,6.04,362.89,0.84,1.95,0,0,0,8.28,0,0,0,0,74.21,0,0,4.05,0,0
 48-58,0,0,0,0,2.64,0,83.08,0.61,0.54,0.65,23.59,1.01,0,0,0,0,0.39,1.09,0,0.4,27.48,0,0.39,2.49,319.75,5.53,0.76,0.62,0,0,7.1,0,0,0,0,61.31,0,0,1.73,0,3.23
 60-70,0,0,0,0,2.45,0,161.98,0,0,1.94,21.54,0,0,0,0,0,0,0,0,0,29.09,0,0.7,2.18,244.96,0,0,0,0,0,0.82,0,0,0,0,35.76,0,0.9,0.73,0,25.19
 72-82,0,0,0,0,7.08,7.15,97.3,0,1.87,1.36,17.75,0.51,0,1.28,1.62,0,5.89,1.5,0,0,29.13,0,9.1,4.23,188.76,0,0,4.36,0,0,5.46,0,0,0,0,24.45,0,1.88,6.54,0.57,0
 84-94,0,0,1.48,0,2.23,6.25,63.17,0,0,0,17.14,1.22,0,0.8,2.74,0,0.62,8.8,0,0,54.04,0,0,4.36,130.95,0,6.26,1.29,0,0,3.44,0,0,0,0,10.26,0.56,1.13,6.46,0,1.29
 96-106,0,0,0.99,0,4.6,13.07,113.02,0,0,0,48.49,0,0,0,5.24,0.6,0,0.77,0.7,0,37.57,1.69,0,1.34,109.66,0,7.03,0.61,0,1.03,3.94,0,0,0,0,9.79,0,0,0.58,0,1.24
108-118,0,0,0,0,6.68,3.92,39.38,0,1.39,3.19,23.59,1.33,0,0,2.65,0,0,1.22,0.81,0,31.13,1.14,2.38,6.38,137.86,1.03,2.99,1.35,0,0,15.71,0,0,0,0,9.14,0,0,2.68,1.58,1.4
120,0,0,0,0,13.22,0,80.17,0,0,0,27.74,4.12,0,0,3.01,0,0,4.16,0,0,68.64,0,0,10.54,249.98,0,2.34,1.02,0,0,2.45,0,0,2.12,0,0,0,0,0,0,0
