stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,spinal.cord
  3-4,75.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.32,0,0,3.56,0,0,0,0,0,0,0,17.46,8.39,0,5.16,0
 10-12,0,0,0,0,0,0,0,0,3.33,0,0,0,16.94,0,0,4.59,0
 14-21,0,0,1.6,0,0,0,0,0,0,0,0,0,2.38,0,0,0.92,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.81,0,0,0,2.36
 36-46,0,0,0,17.02,0,0,0,0,0,0,0,0,0.69,0,0,0,0
 48-58,0,0,0,0,1.82,0,0.55,0,0,0,0,0,5.94,0,0,0,1.3
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0
 72-82,0,0,0,0,6.46,0,0.85,0.72,0,0,0,0.53,13.99,0,0,0,0
 84-94,0,0,0,0,3.59,0,0,0,0,1.59,0.71,4.89,9.9,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.41,0,0,0.99,0,0,0,0
108-118,0,0,0.43,0,0,1.32,0,0,0,1.68,0,0,7.12,0,0.95,0,0
