stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197.5,2797.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.59,0,0,0,0,0,0,0,0,0,0
  5-6,386.81,4664.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.27,29.36,0,0,43.18,0,53.7,0,0,0,0,0,0,0,0,0,0
  7-9,90.19,117.45,0,120.12,0,0,276.65,0,0,0,0,0,167.76,0,0,0,0,0,0,0,0,0,0,0,2978.26,90.02,0,0,922.51,0,18.21,35.66,0,0,0,0,0,0,0,0,0
 10-12,0,32.74,0,145.45,0,7.8,220.17,0,0,0,0,0,57.28,0,0,0,0,0,0,0,0,0,0,0,1435.43,24.7,0,0,388.43,0,7.72,25.68,0,34.75,0,5.41,0,0,0,0,0
 14-21,0.93,0,1.13,3.72,58.47,11.84,27.59,0,0,0,8.76,1.63,0.98,0,0,0,0,0,0,0,30.27,0,0,23.36,515.17,13.61,0.87,4.48,12.35,0,21.91,2.03,49.52,3.72,0,19.54,130.73,0,2.17,0,0
 24-34,4.02,0,0,2.98,9.28,1.85,92.12,0,1,0,21.19,1.08,0,0,4.63,3.83,0,2.31,0.65,0,68.85,0,0,29.67,968.54,1.87,3.52,10.08,0,0,39.7,0,0,8.52,1.16,4.31,188.87,0,10.95,0,0
 36-46,0,0,0,0,34.53,3.94,283.11,0,0,0,16.83,1.04,0,0.75,1.27,0,1.76,0,0.77,0,63.46,0,11.78,23.31,681.1,2.02,6.66,1.19,0,0,28.32,0,0,0.56,0,0,131.17,0,6.21,0,0
 48-58,0,0,0,3.5,27.46,3.8,428.26,0,8.67,3.2,31.43,0.58,0,1.26,4.22,0,3.6,0,5.63,0,87.14,0,7.64,14.44,562.24,9.07,2.8,5.09,0,0,11.94,0,0,0,0,0,61.22,0,17.14,0,2.14
 60-70,0,0,0,0,24.3,4.64,478.8,1.01,0,2.87,26.76,4.35,1.21,0.71,0.65,1.69,6.81,0.67,0,0,63.89,0,9.25,14.84,428.77,0,5.15,3.89,0,0,13.94,0,0,3.18,0,0,54.86,0,2.44,0,0
 72-82,0,0,0,0,11.06,1.75,188.01,3.34,0,3.21,41.88,2.41,0,1.25,3.04,0.52,0.72,0,0,0,69.72,0.73,4.47,7.25,358.44,0.73,10.12,7.73,0,0,4.47,0,0,0,0,0,29.25,0,6.8,0,0
 84-94,0,0,0,1.01,9.89,12.76,110.6,0,0,0,37.67,4.4,0,0.8,8.48,0.69,1.45,0,1.19,9.54,57.47,0,13.03,3.79,230.23,0.8,2.19,8.48,0,1.01,4.28,0,0,0,0,0,11.92,1.17,5.92,0.82,9.85
 96-106,0,0,0,0,8.95,4.88,76.56,0,0,0,63.32,6.76,0,0.73,6.31,0,0.92,0,1.12,0,20.29,0,1.42,5.77,159.05,0,0.81,3.98,0,0,0,0,0,0,0,0,0,0,10.39,0,0
108-118,0,0,0,1.47,13.75,2.91,142.07,0,0.55,1.54,55.57,2.73,0,0,3.29,0,3.74,0.72,1.49,0,21.66,0,2.39,2.68,204.48,15.96,3.59,2,0,0,1.81,0,0,0.84,0,0,17.59,1.44,1.03,0,0
120,0,0,0,0,9.54,6.13,132.22,0,0,0,71.29,0,0,0,10.83,0,11.11,0,4.99,0,37.1,0,0,2.35,283.38,0,0,7.3,0,0,6.06,0,0,0,0,0,9.8,0,11.68,0,0
