stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,49.16,1140.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.46,0,0,0,0,0,0,0
  5-6,16.49,655.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.25,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0
 14-21,0,0,1.41,0,1.41,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.38,0,0,39.98,0,0,0,0,0,52.64,1.01,0,0
 24-34,0,0,5.07,0,0.81,0,0,17.14,0,0,0,11.3,0,0,0,0,0,0,0,4.49,0,0,1137.2,0,0,105.34,0,0.71,0,0,0,91.29,8.58,0,0
 36-46,0,0,2.33,0,6.25,0,0,38.28,0,1.39,0,96.2,0,0,0,0,0,0,0,2.15,0,0,2780.71,0.92,0.56,130.15,0,1.93,0,0.74,0,188.44,0,0,0
 48-58,0,0,0,0,21.69,2.35,0,148.89,3.36,6.54,3.06,327.27,0,0.55,0,0,2.34,0,0,17.58,17.09,1.85,5045.33,0,1.07,142.83,0,1.64,0,0.85,0.9,289.82,0,0,0
 60-70,0,0,0.89,0,17.3,0.61,0,209.02,0,0,0,463.03,0.85,0,6.79,0,0,0,0,40.03,0,9.93,6602.63,0.63,0,115.6,0,0.82,0,0.62,0,275.16,9.03,0,0
 72-82,0,0,4.66,0,15.55,0.55,0,185.84,0,0,2.77,269.45,0.71,0,6.74,0,0.57,0,2.38,40.44,0,1.63,5063.34,0,0,117.39,1.05,0,0,3.87,0,239.9,0,3.41,3.17
 84-94,0,0,2.14,0,10.75,5.95,0,229.7,0.74,16.25,0,265.39,0,0,0,0,0,0,1.21,26.73,6.26,3.35,4223.44,0.75,12.46,165.53,0,2.98,0,0,0,224.71,1.63,0.62,0
 96-106,0,0,2.9,0,32.27,6.62,0,136.73,0,0,0,212.5,0,0,1.54,0,0.76,0.58,19.39,22.82,3.4,6.81,2863.54,2.11,1.51,151.88,0,9.28,0,1.6,0,32.47,0.75,0,1.44
108-118,0,0,3.57,0,28.73,1.49,1.73,190.14,1.3,0.42,2.35,250.23,0.8,3.23,0,1.01,0,0.43,5.04,18.8,2.74,4.07,3765.42,1.51,1.07,155.01,1.1,0,0,1.91,0,76.41,0,0,0
120,0,0,1.73,0,31.29,12.84,0,438.69,0,6.59,0,610.89,0,0,4.65,7.56,0,0,10.73,90.28,21.57,9.47,7341.61,0,11.86,169.78,0,5.76,7.49,0,0,89.32,0,0,0
