stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,9.5,0,0,0,0,0,4.52,0,4.5,0,0,0,0,0,0,0,0
 14-21,0,0,12.42,0,7.52,0,0,0,2.6,1.38,1.07,0,0,0,0,0,1.13,3.02,0,0,2.89,82.33,6.72,0,1.02,1.46,0,5.76,1.99,0.82,0.84,7.74,26.04,0,0,0,0,0
 24-34,0,0,2.23,0.81,11.24,0,0,0,0.93,0,0,0,0,1.26,0.61,0,0,4.49,0,0,3.76,105.03,4.89,0,1.99,0,0,13.84,0,0,0,0,38.93,0,0,0,0,0
 36-46,0,0,12.64,0,32.48,0,0,0.67,10.3,0,1.77,0,0,0.74,2.02,4.06,0,26.14,0,0,6.36,215.77,8.01,1.34,0,0,0,21.38,0,0,0.74,0,67.1,0,0,0.64,0,0
 48-58,0,0,4.2,0,105.66,0,0,0.5,15.21,0.45,0,0,0,0.4,1.04,0,0.48,33.43,0,0,4.24,716.61,13.81,2.05,0.6,0,0,15.9,0,0,0,0,244.09,0,0,0.71,0,1.07
 60-70,0.86,0,5.52,0,164.15,0,9.63,5.27,13.47,0.85,0.92,0,1.37,0,0,0,0,65.44,0,0,4.03,1086.13,12.58,1.42,1.78,0,0,3.06,0,0,0,0,295.75,0,0,0,0.81,0
 72-82,0.79,0,18.47,0,256.83,0,0,9.71,36.85,4.83,0,4.17,0.63,0.76,1.3,3.06,0,71.1,1.05,0,10.93,1301.11,2.16,1.82,1.03,0,0.71,2.5,0,0,0,0,310.04,3.3,1.53,0,0.92,0
 84-94,2.22,2,19.47,0,240.56,0,0,9.25,21.57,0.99,0,0,8.08,0.74,0,0,0.73,51.85,1.18,0,0,985.95,9.74,5.7,1,0,0,25.11,0,0,0,0,163.08,0,0,0,2.14,0
 96-106,0.63,0,15.73,4.88,271.89,3.09,0,9.74,57.41,1.85,0,1.36,7.44,0,4.06,0,1.03,75.3,0,2.62,2.38,984.98,2.08,2,5.58,0,0,12.84,0,0,0,0,167.83,2.81,0,0,1.54,0
108-118,1.59,0,23.73,0,209.7,0,2.6,7.37,39.14,0,0,0,10.46,1.45,0,0,0.6,86.22,0,3.62,4.15,875.04,2.09,1.44,0,0,3.32,9.28,0,0.45,0,0,78.94,0,3.03,0,3.03,0
120,0,0,22.21,0,206.29,0,1.19,0,35.86,1.02,0,8.92,3.78,3.78,0,0,0,38.89,0,15.43,2.41,881.18,2.57,3.27,0,0,0,11.36,0,0,0,0,68.68,0,6.77,0,0,0
