stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,145.48,4313.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.19,0,0,0,0,0,0,0,0,0,0
  5-6,88.85,1610.59,0,9.08,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,9.57,7.03,0,0,8.94,0,44.05,0,0,0,0,0,0,0,0,0,0
  7-9,11.26,10.2,0,8.02,0,0,0,0,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,200.72,13.04,0,0,41,0,0,7.7,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,2.18,63.51,0,0,0,0,0,0,0,0,0,1.66,85.66,0,0,0,0,0
 24-34,0,0,0,0,2.45,0.94,0,13.65,0,3.01,0,0,0,0,0,0,0,0,0,0,15.59,11.38,0,0,19.16,867.31,0,5.63,0,0,0,0,0,0.73,0,0,247.52,0,0,6.83,0,10.59
 36-46,0,0,0,0,0,0,0,31.23,0,0,0,2.27,1.33,0,0,0,0,0.61,0,0,62.95,78.91,0,0,21.4,2201.97,0,3.1,1.66,0,0,0,0,0,0,0,368.95,0,0,0.7,0,44.62
 48-58,1.15,0,0,0,13.13,0,0,181.25,0,3.99,1.43,33.35,1.61,0,0,0,0,6.72,0,0,48.26,71.44,0,3.12,12.38,3376.73,0,1.21,0.43,0,0,5.97,0,0,0.73,0,499.5,0,0,1.04,0,63.08
 60-70,0,0,0,0,25.3,0,0,493.14,0,5.28,0,152.07,0,0,0,0,0,0,0.7,0,6.45,145.56,0,0,12.08,3854.46,0,2.87,2.53,0,1.9,2.9,0,3.48,2.34,0,503.69,0,0,1.5,0,24.85
 72-82,0,0,0,0,8.52,4.49,0,663.11,0,0,1.15,440.31,0.76,0,0,0.61,0,2.79,0.61,0,11.15,165.07,0,3.53,14.45,4055.68,0,0.52,4.27,0,7.8,11.1,0,3.73,0,0,367.77,0,0,3.18,1.38,70.86
 84-94,0,0,0,0,17.96,0.76,0,699.36,0,0,8.75,359.09,0,0,1.02,0,1.25,4.86,0,0,25.42,120.86,4.65,6.86,12.24,2930.67,0,0.7,1.85,0,6.66,2.05,0,0,0,0,197.98,4.42,1.7,1.86,0.57,36.48
 96-106,0,0,0,0,11.99,17.88,3.72,672.87,0,0.73,0,494.34,1.2,0,1.61,0,0,4.88,0,0,8.52,138.92,2.28,6.91,14.97,2495.26,0,0,2.85,0,13.58,15.4,0,1.7,0,0,108.27,3.86,7.05,6.5,1.16,40.25
108-118,0,0,0,0,19,3.23,1.59,818.35,1.3,0,0.5,602.65,0.86,0,0.88,0.52,2.72,0.97,0,0,18.35,189.36,0,16.49,13.74,2514.78,0.46,1.78,0,0,23.35,1.5,0,1.68,0.43,0,70.08,1.55,0,6.03,3.84,88.06
120,0,0,8.73,0,29.89,26.55,0,1067.9,0,4.42,2.41,775.97,0,0,0,1.38,0,2.23,0,10.23,4.96,171.71,0,11.35,21.68,4562.84,0,0,1.4,0,75.55,0,0,0,0,0,239.08,0,0,8.54,0,38.19
