stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,23.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,500.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,64.69,15.23,0,0,0,91.41,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,693.15,19.45,0,0,168.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.55,245.47,0,26.58,0,214.33,0,0,0,0,0,0,0,0,0,0,0,10.63,0,0,0,0,0,2721.76,98.17,0,0,748.08,0,0,0,3.57,92.1,0,32.84,32.69,0,0,0,0,0
 14-21,0,0,9.15,113.93,10.29,0,52.42,0,0,0,33.43,4.28,0,16.32,0,0.91,0,0,4.36,1.05,76.37,0,0,67.25,464.05,33.86,6.58,16.67,3.77,0,0,0,36.18,0.89,15.56,75.19,281.75,0,0,4.02,0,0.84
 24-34,0.88,0,0.84,41.4,2.8,0,82.3,2.45,0.67,2.55,68.79,1.68,0,26.6,0,2.21,4.47,3.09,4.5,28.32,172.38,0,0.91,95.1,957.4,7.26,4.38,9.79,0,0,5.44,0,0,13.48,6.13,29.6,303.23,0,0,54.75,0,4.37
 36-46,0,0,0.82,18.03,1.4,0,101.58,11.15,14.47,3.96,121.43,1.93,0,13.05,0,0,3.45,0,10.7,65.72,183.73,0,4.89,42.21,725.52,6.43,0.6,4.44,0,9.61,11.02,0,0,8.12,2.07,0.63,272.85,0,0,33.85,0,4
 48-58,0,0,0,28.15,0,0,161.4,19.94,2.94,13.09,133.1,1.98,0,23.07,0,0.59,2.31,1.24,0,98.62,251.93,0,6.29,56.86,395.09,1.54,0.86,3.84,0,0.85,0,0,0,8.37,3.46,0,249.68,0,0.84,11.1,0,9.59
 60-70,0,0,0,11.95,0,0,106.28,30.18,2.42,3.79,218.93,1.84,0,5.3,0,8.33,5,1.26,0,37.67,201.76,0,15.85,45.74,229.06,4.02,0,10.9,0,4.46,0,0,0,0,8.75,0,105.79,0,10.08,17.22,1.38,14.31
 72-82,0,0,0,3.99,0,0,110.4,29.77,1.17,5.02,346.97,3.47,0,3.76,0,0.61,2.06,4.56,2.73,33.37,305.46,0,20.36,37.78,288.69,0,0,5.38,0,6.55,1.41,0,0,3.29,0.79,0,49.19,0,5.37,24.97,16.63,6.89
 84-94,0,0,0,21.9,0.81,0,173.26,16.11,3.34,5.38,278.47,1.01,0,8.24,0,2.99,4.8,0,12.22,112.42,203.43,0,30.22,25.34,198.04,6.76,0.7,13,0,6.46,6.34,1.4,0,0.8,1.29,0,53.63,0,18.19,29.14,21.29,55.87
 96-106,0,0,0,10.5,7.01,0,125.96,23.1,0.56,2.71,319.34,0.69,0,5.97,1.69,1.06,6.1,0.92,2.28,60.35,173.7,0,30.05,37.14,178.35,0.7,7.31,8.95,0,13.59,0.6,0,0,4.83,8.43,0,30.01,1.44,17.61,21,25.08,5.14
108-118,0,0,0,11.74,1.85,4.79,149.37,17.6,2.01,13.43,375.3,0.91,0,3.79,0.62,2.08,9.57,2.85,6.18,168.52,235.97,0,7.7,30.41,275.08,1.81,3.22,14.04,0,9.69,9.76,0,0,4.06,10.08,0,22.67,0,17.53,19.1,20.13,33.44
120,0,0,0,8.17,3.03,0,175.98,29.33,1.37,12.35,571.21,0,0,12.04,8.35,1.41,1.17,0,0,41.63,184.55,1.84,24.74,26.05,347.86,0,0,14.79,0,16.2,0,0,0,7.65,1.21,0,65.52,0,5.43,34.19,57.91,25.6
