stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,xanthophores
  5-6,9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,19.91,7.17,0,0,5.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.66,0,0,0,7.48,0,0,0,0
 14-21,0,0,1.04,0,0,0,0,0,0.86,0,0,0,0,0,1.67,1.2,0,0,0,0,15.43,0,0,0
 24-34,0,0,0.63,2.42,0.72,0,0,0,1.49,0,0,0,0,0,0.61,6.16,0,0,0,0,22.08,0,1.93,0
 36-46,0,0,6.73,0,0,0,0,0,0.77,0,0,0,0,0,0,30.84,0,0,0,0,14.19,0,1.19,5.2
 48-58,0,0,0.95,3.58,1.07,0,0,1.21,0.53,0,0,0,0,0,0,38.88,0.93,0,0,0,17.72,0,2.49,0
 60-70,0,0,4.06,5.15,1.24,2,0,0,0,3.44,0,0,0.65,0,0,13.99,0,0,0.65,0,4.16,2.54,0.99,0
 72-82,0,1.09,0,15.18,0,2.27,0,0,0,0,0,0,1.76,0,0,17.13,0,0,1.89,0,3.8,0,0,0
 84-94,0,0,10.2,16.62,0,0,0,0,0,0,0,0,0,2.92,0,10.93,0,0,2.37,0,26.58,0,0,3
 96-106,0,0,5.16,1.58,1.38,0.72,0,0,1.78,0,0.59,0,0,0,0,10.17,0,0,1.13,0,13.19,0,0,0
108-118,0,0,6.88,6.83,1.9,0,0,0,0,0,0.89,0,0,0,0,5.96,0,3.49,0,0,6.65,0,0,0
120,0,0,1.42,0,0,0,1.68,0,0,0,0,1.05,0,0,0,26.02,0,9.53,0,0,5.06,0,0,0
