stage,eye,glial,immune,mesenchyme,neural,presomitic.mesoderm,spinal.cord,vasculature
 14-21,0,0,0,0,2.09,1.38,0,0
 24-34,0,0,0,0,1.24,0,0,0
 36-46,0,1.51,0,0,0.82,0,0,0
 48-58,0.61,1.78,0,0,0.73,0,0.49,0
 72-82,0,0,0,1.37,2.47,0,0,0
 96-106,3.88,0,0,0,0,0,0,0
108-118,0,0,0,0.83,0,0,0,0
120,0,0,1.11,0,0,0,0,1.33
