stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.79,633.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.21,0,0,0,0,0,0,0,0,0,0
  5-6,37.16,546.74,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.18,0,0,0,17.59,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.61,10.15,0,33.98,0,0,85.97,0,0,0,0,0,8.68,0,0,0,0,0,0,0,0,0,0,0,550.59,14,0,0,153.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.09,0,17.54,0,0,72.66,0,0,0,0,0,19.63,0,0,0,0,0,0,0,0,0,0,0,543.82,7.65,0,0,244.2,0,0,3.57,17.66,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,4.38,54.72,7.88,30.76,0,0,0,7.26,5.13,1.44,0,0,1.73,0,0,8.42,0,37.16,0,0,20.89,417.34,8.34,0.87,8.51,6.39,0,5.58,77.77,10.36,0,59.93,120.33,0,0,1.63,0,0
 24-34,0,0,0.84,1.64,23.91,8.54,72.64,0,1.29,1.06,21.02,0.63,0,0.92,0.71,0.64,0.83,0.86,0.95,1.64,50.91,0.69,0.69,27.08,1052.27,6.26,16.46,8.16,0,0,19.36,0,1.49,0,12.35,182.16,0,0,13.31,0,0.86
 36-46,0,0,0.98,0,16.38,1.93,153.45,0,3.56,1.29,31.59,0,0,2.05,0,0.63,0,0.81,0.83,0,53.65,0,2.34,22.23,1153.51,1.69,5.05,2.16,0,0,34.26,3.04,4.97,0,0,238.97,0,0,1.37,0,0
 48-58,0,0,0,0.43,13.59,0,324.99,0.7,0,2.02,49.15,0.39,0,0.87,2.21,0.98,3.19,1.91,0.87,0,64.88,0.46,2.53,13.39,1153.43,1.9,4.51,1.89,0,0,13.48,0,2.03,0.45,0,219.86,0,0,6.14,0,0
 60-70,0,0,0.62,0,5.77,0.57,441.48,0,0,4.46,47.48,5.35,0,0.95,0.6,0,17.72,2.73,0,1.56,66.82,1.01,0,6.6,962.37,0.7,3.02,0.76,0,0,10.11,0,0,0,0,127.38,0,1.54,2.65,0,9.19
 72-82,0,0,0,0,12.87,10.35,372.38,0,0.56,5.28,45.29,5.02,0.6,1.15,6.06,0,4.51,0.72,0.79,0.69,129.71,3.82,4.02,15.41,763.73,0,7.39,2.6,0,4.1,14.1,0,1.23,1.05,0,93.88,0.68,1.14,4.26,1.47,0
 84-94,0,0,0,0,11.61,9.62,302.79,0.57,1.32,17.62,25.49,3.07,0.64,2.41,4.97,2.29,2.25,2.84,2.55,0,78.45,1.13,2.56,3.82,443.8,2.54,5.89,6.61,0,0,25.52,0,1.51,0,0,56.15,0.62,1.94,9.67,2.98,2.67
 96-106,0,0,0,0,16.35,38.03,221.26,0,2.36,11.26,67.82,6.52,0,0,8.5,3.52,8.46,1.93,7.02,0,102.57,0,0.69,10.88,481.6,1.47,1.65,5.72,0,8.21,40.62,0,7.19,0,0,25.74,3.1,4.41,10.89,0.85,1.09
108-118,0,0,0,0,21.91,23.4,316.09,0,1.82,3.96,43.09,2.12,0,0,6.74,3.72,3.89,1.63,3.03,0,108.77,0.53,3.49,13.16,603.54,2.74,7.72,5.62,0,0,15.11,0,1.91,0,0,25.74,1.75,2.26,15.8,0,4.36
120,0,0,0,0,9.21,9.99,228.45,0,8.53,3.26,40.17,5.88,0,0,4.12,5,9.92,5.46,2.1,0,99.29,3.77,51.96,11.33,550.78,4.41,9.44,9.71,0,0,30.54,0,7.96,0,0,32.19,0,0,11.33,0,0
