stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,39.64,451.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.7,411.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.96,10.97,0,0,5.83,0,0,0,0,0,0,197.64,5.66,0,0,39.84,0,0,0,0,0,0
 10-12,0,0,4.69,0,0,21.62,0,7.6,0,0,0,0,242.1,8.68,0,0,46.57,0,0,0,3.51,0,0
 14-21,0,0,0,1,2.87,0,0,0,0,0,0,3.31,27.04,1.29,0,0,0,1.93,1.52,2.94,4.8,0,0
 24-34,0,0,0,0,0,3.46,0,0,0,3.58,0,0,23.46,0,0,0,0,0,0,0,3.35,4.1,0
 36-46,0,0,0,0,0,4.81,1.2,0,0,3.14,0,0.61,10.76,0,1.15,0.58,0,0,0,0,4.07,0.75,0
 48-58,0,0,0,0.44,0,0.38,0,0,0,3.18,0,0,15.89,0,0,0,0,0,0,0,3.25,0,0
 60-70,0,0,0,0,0,1.05,0,0,0,0.7,0,0.75,4.93,0,0,0,0,0,0,0,3.05,0,0
 72-82,0,0,0,0,0,0.64,0.97,0,0,0,0,0.56,1.4,0,0,0,0,0,0,0,0,1,0
 84-94,0,0,0,0.57,0,1.6,0,0,0,1.56,0,0.58,1.28,0,0,0,0,0,0,0,0.95,0,0
 96-106,0,0,0,0,0,0,0,0,0,3.61,0,1.43,0.97,0,0,0,0,0,0,0,0,0.65,2.35
108-118,0,0,0,2.09,0,0,1.1,0,0.64,0,3.07,0,2.27,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,5.16,0,0,1.25,0,0,0,0,0,0,0,0,0,0
