stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,glial,gut,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,31.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,11.24,0,0,0,3.99,0,0,0,0,0
 10-12,0,7.78,0,0,0,0,0,0,0,0,0,0,0,0,15.43,0,0,0,3.27,4.52,0,0,0,0
 14-21,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0.82,2.95,1.15,0,0,0,0,0,1.11,0,0
 24-34,0,0,0.94,0,1.34,0,0,0,0,0,0,0,0,0.85,15.37,0,1.61,0,0,0,0,2.68,0,0
 36-46,0,0,0,0,1.56,0,0,0,0,0,0.67,0,0,0,53.63,0,0,0.61,0,0,0,9.8,0,0
 48-58,0,0,0,0,14.92,0.7,1.93,0,0,0.39,0.66,0,0,0,41.91,0,0,0,0,0,0.4,3.42,0,0
 60-70,0,0,1.02,0,10.59,0,0.94,0,0,0,1.25,0,0,0.65,20.44,0,0,0,0,0,0,4.93,0,0
 72-82,0,0,0,0,8.23,0,0,0,0.5,0,5.9,0,0,0,27.45,0,0,0,0,0,0,0.62,0,3.06
 84-94,0,0,0,0,10.23,0,2.34,0.68,0,0,2.06,1.19,0,0,31.9,0,0,1.26,0,0,0,0,1.11,0
 96-106,0,0,0,0,7.81,0,0,0,0,0,3.39,0,0,0,8.67,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.5,6.2,0,3.64,1.48,0,0,2.35,0,0,0.46,9.29,0,0,1.29,0,3.99,0,0,0,0
120,0,0,0,0,4.18,0,0,0,0,0,0,0,2.58,0,13.9,0,0,0,0,1.84,0,0,0,0
