stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,neural,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,16.11,0,0,1.32,0,1.15,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,59.53,0,0,1.47,0,3.34,0,0,0,0,1.74,0,0,3.23
 36-46,0,9.95,0,0,0,0,126.08,0,0,0,0,17.13,0,0,0,0,0,0,0,0
 48-58,0,4.62,0.75,0,0,0,99.42,0,0,0,0,1.74,0,0,0,0,1.86,0,0,0.93
 60-70,0,0,1.52,1.82,0,0.79,178.31,0,0,0,0,0,0,0,0,0,1.46,0,0,0
 72-82,0,3.26,0,0,2.44,2.58,143.64,0.68,0,0,0.59,1.24,0,0,0,2,1.92,1.48,2.01,0
 84-94,0,0,0,0,0,7.19,114.37,0,0,0,0,1.06,0,0,0,0,0,8.75,1.32,0
 96-106,0,0,0,0,0,6.29,194.4,0,11.09,0,0,9.14,0,0,1.36,0,0,1.94,2.79,0
108-118,2.29,3.75,0,0,0,5.06,190.19,0,0.57,0,2,1.72,0,2.1,1.31,0,0,5.8,0.52,0
120,1.41,0,0,0,0,4.94,188.98,0,0,0,0,1.35,17.15,0,0,0,0,2.2,1.32,0
