stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,0,0,0,0,0,4.45,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,22.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,23.81,0,1.16,0,0.87,0,0,0,0,0,0,0,0,0,5.28,0,0,9.38,3.19,0,0,1.02,3.11,6.13,3.63,0,0,31.36,0,0
 24-34,0,0,0,0,4.88,0,0,0,1.83,0,1.15,0,0,0,0,0,0,0,60.75,0,0,28.67,5.65,0,0,0,1.01,0,0.96,0,0,100.18,0,0
 36-46,0,0,0,0,0.58,0,0,0,2.08,0.64,0,0,0,0,0,0,0,0,141.15,0,0,48.26,5.5,0,0,0,0,0,2.46,0,0,67.05,0,0
 48-58,0,0,0,3.18,1.85,0,5.3,0,0,5.76,8.08,0,0,2.54,0,0,0,0.41,226.25,0,0,18.89,16.03,0,0,0,0,0,12.94,0,0.44,49.27,0,0
 60-70,0,0,0,0,0.67,0,2.73,0.59,9.34,9.21,3.8,0,0,5.45,4.08,0,0,0,303.38,0,6.39,27.97,22.94,0,2.8,0.57,0,0,3.99,0,1.59,32.65,1.91,0
 72-82,0,0,0,3.84,1.84,0,27.99,0,0,33.55,4.55,0,0,8.85,0,0,0,0,660.03,0,18.29,46.97,46.6,0,11.71,0,0,0,0,3.84,9.24,52.36,28.7,2.33
 84-94,0,0,0,1.5,0,0,22.08,0,1.88,22.81,4.11,0,0,10.03,2.27,0,0,0,533.18,0,0,42.87,13.97,0.88,3.2,0,0,0,0,0,11.32,54.74,29.66,0
 96-106,0,0,0,0.64,21.93,0,17.81,0,3.38,34.16,2.22,0.73,0,17.34,0.58,0,0.81,0,587.89,1.42,15.11,34.04,34.91,0,11.61,0,0,0,1.15,0,10.14,102.97,40.09,0
108-118,0,0,1.47,0,0,0,17.77,0,0.45,26.91,4.47,0.46,0,5.15,0.54,0.89,0,0,690.61,0,10.89,28.04,57.44,0,31.61,0.81,0,0,0,0,9.7,72.28,18.26,1.68
120,0,0,0,3.4,23.13,1.62,24.99,0,0,20.51,6.33,0,0,20.1,5.97,0,0,2.64,688.2,0,8.96,44.77,47.66,1.86,22.93,6.16,0,0,0,0,9.18,61.48,57.1,0
