stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.99,100.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0,0,0,0,0,0,0,0,0
  5-6,16.54,23.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0
  7-9,7.45,0,0,0,0,0,8.58,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,61.98,0,0,0,25.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.58,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,175.62,4.64,0,0,26.02,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.89,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,6.6,1.01,0,0,0,0,0,0.91,0,0,1.69,0,0,3.62,0,0
 24-34,0,0,0,0,0,0,10.59,0,0.61,0,0,0,0,3.27,0,0,0,0,0,2.55,0,0,0,65.2,0,0,1,0,0,0,0,0,0,17.99,0,0,9.04,0,0
 36-46,0,0,0,0.78,0,0,31.97,0,0,0,7.09,0,0,0.65,0,0,0,0,0,4.05,0,0,0.56,213.13,0.65,1.98,0,0,0,3.32,0,0,0,66.14,0,0,32.97,0,0
 48-58,0,0,0,0,0,0,80.06,0,0,0,8.39,0,0,2.16,1.26,0,0,0,0,10.01,0,0,1.71,490.81,0.41,0.75,0,0,0,7.85,0,2.01,0,130.62,0,0,28.69,0,0
 60-70,0,0,0,1.05,0,0,808.95,1.07,5.34,4.49,4.06,0,0,0,0,0,0,0,0,7.55,0,0,0.82,1096.12,0,0,0.76,0,0,6.94,0,0,0,300.13,0,0,14.3,0,0
 72-82,0,0,0,1.49,0,0,1842.4,3.57,0,1.88,37.39,1.45,0,1.15,0.61,0.64,0,6.83,0,31.81,0,1.1,0,956.94,0,0,0,0,0,3.01,0,0,0,166.14,0,0.83,85.4,0,10.57
 84-94,0,0,0.66,1.41,3.12,0,1741.7,0,0,0,23.79,2.34,0,0,0.64,0.82,0,0,5.31,10.01,0,2.38,4.58,836.31,1.53,0,0,0,0.57,2.77,0,0,1.18,126.4,0,0,72.67,0,4.34
 96-106,0,0,0,6.95,0,0,1905.75,0,1.95,1.81,28.19,0,0,2.94,1.93,0.9,0,23.3,0,17.07,4.57,0,0,600.29,0.58,0,0,0,0,5.79,0,0,0,29.76,0,4.06,52.36,0,5.26
108-118,0,0,0,20.93,5.46,1.87,2034.94,0,1.45,0,47.19,0,0,1.35,0,0,3.04,4.42,0,34.08,1.22,0,2.49,823.65,0.96,1.39,0,0,3.32,2.96,0,0,0,49.22,2.1,0,69.92,1.3,0
120,0,0,0,1.8,0,0,1032.98,0,0,0,51.07,4.05,0,0,15.15,0,0,0,0,53.54,0,3.51,3.83,1911.21,0,0,0,0,0,0,0,5.87,0,38.52,0,14.15,119.59,10.94,0
