stage,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,iridophores,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4.28,0,1.28,2.04,0,2.08,0,2.1,2.27,0
 24-34,0,0,0.97,0,0,0,0,0,1.35,0,0,8.92,0.66,0,0,0,0,0,0,0.72,0
 36-46,1.06,0,2.25,0,0,0.73,0,0,1.79,0,0,13.59,0,0,0,0,0,4.09,0,0,0
 48-58,0,0,0.49,0.73,0,2.52,0,0,1.74,0,0,3.54,0,0,0,0,0,0,0,0.62,0
 60-70,3.19,0,0,0,0,0.76,2.35,0,2.09,0,0,7.53,0,0,0,0,0,0,0,0,0
 72-82,8.19,0,0.75,0,0,2.66,0,0.9,2.92,0,0,2.17,0,0,0,0,0,0,0,0,0.51
 84-94,9.9,0,0,0,0,0.84,0.99,0,2.3,0,0,2.36,0,0,0,0,0,0.67,0,0,0
 96-106,1.26,0.77,1.04,0,0,1.61,0,0,0,3.12,0,17.76,0,0,0,0.58,0,0,0,0,0
108-118,9.45,0,0,0,4.91,3.14,0,0,6.53,0,0.53,2.59,0,0,0,5.31,0,0,0,0,0
120,2.56,0,4.27,0,0,12.15,0,0,4.85,0,1.82,15.8,0,0,0,1.55,0,0,0,0,3.19
