stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,22.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,5.16,0,0,21.69,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,1.07,1.56,0,0,0,0,0,1.92,0,2.87,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.62,18.7,18.8,2.25,0,0,0,0,0,3.29,0,37.04,0,0
 36-46,0,0,1.06,0,0,0,0,0,0,0,0,0,0,1,0,104.32,20.24,7.71,0,0,0,0,0,0,0,0,82.05,0,0
 48-58,0,0,1.38,0,6.83,0,0,0.41,0,0,0,1.53,0,0,0.48,184.84,31.17,46.71,0,0,0,0,0,0,3.19,0,104.57,0,0
 60-70,0,0,0,0,0.78,0.64,0,1.27,1.83,0,0,0,0.6,0,0,460.58,47.78,14.83,0,0,0,2.4,0,0,0,0,137.18,0,0
 72-82,0,0,1.48,0,29.03,0,0,3.41,3.34,0,0,0,0,0,0,793.49,60.25,30.15,0,0,0,0,2.11,0,1.71,5.46,229.32,0,0
 84-94,0,0,3.3,0,35.16,0.95,0,3.46,0,0,0,4.8,0,0,1.81,659.94,42.56,4.12,0,0,0,0,6.13,0.82,0,2.63,222.81,2.23,0
 96-106,1.12,0,0,7.67,13.81,0,0.59,0.82,6.28,0.79,0,0,0.58,0,0,648.05,42,47.34,0,1.74,0,0,0.62,0,0,0,191.26,2.06,0
108-118,0,0,2.37,0,8.08,0.55,0.89,1.42,5.49,0.6,0,1.1,0.42,0,0.57,776.87,55.12,32.23,0,0,0,4.58,6.28,0,0,1.37,208.64,0,1.41
120,0,0,1.12,4.28,24.45,0,0,0,0,1.25,0,0,0,0,13.18,520.58,17.4,9.99,0,0,0,15.3,0,0,0,0,111.2,0,0
