stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.19,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,138.26,0,0,0,45.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.54,19,0,0,60.94,0,0,0,4.18,0,5.3,0,0,0,0,0
 14-21,0,0,0,1.67,1.06,0,0.91,0,0,1.12,0,0,0,0,0,0,0,0,0,5.25,0,0,2.32,11.74,0,0,0,0,0,0,5.96,0,0.93,4.01,7.82,0,1.16,0,0
 24-34,0,0,0,2.6,0,0,3.83,0,0,0.65,0,0,1.33,0,0.94,0,0,0.66,0.95,1.69,0,0,0.68,35.47,0,1.78,1.37,0,0,2.75,0,0,0,1.62,8.71,0,0,0,0
 36-46,0,0,0,11.8,0,0,5.86,0,0,6.29,0,0,0,0,0,0,0,0,2.78,2.28,0.72,0.8,2.38,45.14,0,1.27,0,0,0,1.72,0,0,0,0,9.27,0,0.6,0,4.64
 48-58,0,0,0,6.36,0,0,20.47,0,0,9.72,0,0,0,0.52,0,0,0.5,0,1.23,14,0,0,4.52,66.71,0,0.48,0,0,0,0.53,0,0,0,0,16.83,0,3.44,0,8.47
 60-70,0,0,0,4.73,0,0,49.22,1.03,0.71,20.59,0,0,0,0,5.18,1.14,0,0,0,15.11,2.18,5.65,2,45.09,0,0.58,1.57,0,0,5.38,0,0,0,0,13.33,0,2.23,0,0.72
 72-82,0,0,0,2.11,0,0,47.71,0,5.18,25.83,0,0,0.89,4.82,0.65,0,2.11,0,0,33.14,0.71,1.95,0.6,44.26,0,3.44,1.7,0,1.12,1.01,0,0.57,0,0,8.81,0,0,0,6.97
 84-94,0,1.11,0,0,0.59,0,35.24,3.38,1.58,24.01,1.9,0,0,0,1.76,1.46,0.65,0,2.52,27.93,1.94,0,3.19,38.85,0,1.13,0.82,0,0,3.73,0,0,0,0,15.89,0,1.58,0,0.77
 96-106,0,0,0,2.05,7.46,0,54.46,0,0.66,28.75,0,0,0,0,0,0.6,2.16,1.75,0,29.36,0,1.67,1.38,60.08,0,6.73,0.95,0,1.61,9.2,0,0,0,0,7.74,0,5.57,0,9.14
108-118,0,0,0,7.91,3.88,1.11,42.87,3.27,1.21,13.64,7.25,0,0,4.1,0,0.51,0,6.02,0,19.5,5.46,1.9,1.01,40.11,0,0.48,2.77,0,0,6.94,0,0,0,0,7,0.53,4.71,0,2.73
120,0,0,0,5.12,0,0,42.94,0,0,30.38,8.85,0,0,1.88,0,1.17,0,0,0,18.92,0,8.27,0,69.3,0,0,0,0,0,5.67,0,0,0,0,17.7,0,3.54,3.93,0
