stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.11,0,0,0,0,0,23.57,4.32,0,9.72,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.22,0,0,0,7.42,0,0,0
 14-21,0,0,2.25,0,0,0,0,3.73,0,0,0,0,0,2.11,0
 24-34,0,0,0,0.62,0,4.1,0,4.19,0,0,0,0,1.31,0,0.72
 36-46,0,0,0,3.15,0,0,0,0.71,0,0.57,0,0,0,0,0
 48-58,0,0,0,0,1.38,0.38,0.46,3.9,0,0,0,0,0,0.89,0
 60-70,0,0,0,0,0,1.26,0,0.99,0,0,0,0,0,0,0
 84-94,0,0,0,0.69,2.12,0,0,3.05,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0
108-118,0,0,0,1.1,1.02,1.51,0,5.18,0,0,0,0,0,0,0
