stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,0,0,0,0,0,0,3.42,0,0,0,0,0
 24-34,0,0,0,3.94,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,2.92,1068.1,0,0,0,0,0,0,0,29.63,0,0,0,0,0
 36-46,0,0,0,1.28,1.39,0,15.65,0,0,0,0,0,0,0,0,0,0,15.38,0,0,4327.73,0,0,0,0,0,0,6.31,127.89,0,0,0,0,3.6
 48-58,0,0,0,15.82,0,0,162.86,2.44,5.12,0.66,20.01,0,0,0,1.16,0,6.91,18.94,5.6,3.91,5915.21,0,2.51,3.31,0,1.1,0.56,0,239.3,0,0,0.44,0,6.3
 60-70,0,0,0,15.86,0,0,150.38,6.7,1.19,0,29.28,0,0,0,0,0,0,23.52,0,4.27,3647.95,0,6.03,0,0,0.9,0,0,273.14,0,0,0,0,6.81
 72-82,0,0,1.75,23,0.77,0,483.88,0,3.86,7.08,30.59,0.57,0,1.25,5.44,0,10.23,39.21,7.09,7.89,4008.85,1.35,0.55,0,0,1.76,3.12,0,412.1,1.21,0,5.63,1.71,2.96
 84-94,0,0,1.47,25.52,0,0,399.44,0,0,0.77,42.27,3.29,0,3.08,2.03,1.35,0,23.91,5.64,7.64,2594.76,0,2.46,3.99,0,0,2.32,0,306.76,2.17,2.41,0.93,0,0
 96-106,0,0,0,27.19,4.53,0,387.89,0.71,0,0,40.32,0,0,0,1.14,0,14.33,27.96,1.99,2.43,2243.43,0,3.86,1.65,0,5.6,0,0,106.59,1.13,2.7,0,1.12,1.22
108-118,0,0,0,38.53,4.94,2.73,374.79,0,0,0,45,1.85,0,1,2.53,0,0,26,2.64,4.61,3523.93,1.03,1.36,0,0,1.18,0,0,88.42,0,2.74,0.84,0.73,1.16
120,0,0,8.73,28.53,0,0,367.71,0,0,18.28,99.58,1.73,0,2.77,11.14,0,2.51,31.32,0,3,3063.91,0,0,3.9,0,0,6.97,0,92.13,0,0,0,0,0
