stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,78.84,690.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.37,0,0,0,0,0,0,0,0,0,0
  5-6,32.17,189.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.4,0,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.61,0,0,0,27.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.05,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,91.13,0,0,0,0,0,0,4.35,4.61,11.29,0,0,0,0,2.86,0,0,0,33.95,0,0,0,0,0,0,0,0,9.74,3.47,23.11,0,0,10.59,0,0
 24-34,0,0,0.61,0,7.52,49.47,10.82,0,6.66,1.9,0,0,5.99,14,34.8,0,3.18,0,0,48.43,1.3,0,16.63,376.72,1.14,1.72,9.06,0,0,2.05,0,0,0,0.59,199.18,0,0,87.17,0,0
 36-46,0,0,0.73,0,2.09,6.74,320.26,0,3.08,0,3.85,0,11.43,29.26,16.63,0,6.69,0,0,40.39,7.23,0,10.96,447.06,2.95,1.39,2.26,0,0,2.82,0,0,2.34,0,255.61,0,0,49.99,0,0
 48-58,0,0,1.61,0,6.19,18.04,1284.84,0.85,1.79,4.62,12.1,0,11.04,54.06,7.53,6.28,6.99,0,0,46.43,3.75,1.24,15.97,524.16,0.47,0.65,14.37,0,1.2,8.51,0,0,1.43,0,112.74,0,0,62.9,0,0
 60-70,2.52,0,0,0,6.47,13.91,1730.51,3.98,0,0.85,16.23,2.1,7.56,53.42,17.44,9.62,29.51,5.45,0,58.44,4.49,0,7.51,721.8,0,3.41,27.09,0,6.96,37.77,0,0,0,0,93.22,0,1,33.98,0.89,8.49
 72-82,0,0,0.49,0,20.84,97.91,757.19,0,3.11,0.5,42.63,8.5,7.72,70.35,6.38,4.47,38.44,0.79,0,96.03,10.12,1.9,0,1024.57,0,4.05,47.06,0,0,24.24,1.65,0,0.54,0,111.23,3.41,1.23,121.42,2.45,3.9
 84-94,0,0,8.39,0,48.37,61.52,585.59,0.56,2.96,4.77,34.55,6.91,2.31,99.06,17.23,1.24,39.49,0,0.73,64.01,8.6,6.31,3.23,671.33,0,1.54,30.37,0,4.34,67.85,0,0,2.67,0,80.39,11.82,1.91,53.96,1.25,0
 96-106,0,0,4.84,0,45.02,100.79,423.79,0,1.94,0,45.86,22.07,15.19,140.66,13.3,2.64,83.86,9.58,0,62.64,25.93,1.9,4.75,573.73,0,4.25,31.9,0,0,61.05,0,0.62,0.6,0,45.74,9.28,2.52,113.28,0.68,11.23
108-118,0,0,1.06,0,32.32,90.28,382.85,1.3,5.78,4.32,66.79,23.08,2.07,117.28,14.72,0,40.89,0,0,38.15,29.55,0,4.21,784.81,0,1,23.15,0,0,35.72,0,0.41,1.39,0,27.06,17.54,3.5,60.64,0.72,0
120,0,0,0,0,53.99,61.48,404.72,12.08,4.34,3.03,87.87,28.72,8.25,134.01,23.77,0,56.77,0,0,51.32,13.73,2.35,2.8,1311.32,0,0,38.44,0,1.79,36.49,0,2.27,1.21,0,47.71,1.77,1.46,102.99,12.33,0
