stage,blastomeres,epidermis,eye,glial,immune,liver,melanocytes,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  3-4,288.3,0,0,0,0,0,0,0,0,0,0,16.74,0,0
  5-6,58.85,0,0,0,0,0,0,0,0,0,0,12.97,0,0
  7-9,0,0,4.9,0,0,0,0,0,0,13.63,5.39,3.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0
 14-21,0,0,0,4.88,0,0,0,0,0,0,0,6.65,0,0
 24-34,0,0.72,0,0,0,3.36,0,6.93,0,0.91,0,0.88,1.32,0
 36-46,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0
 48-58,0,0,0,0.85,0.42,0,1.56,0,0,1.97,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0
 72-82,0,0,2.52,0,0,0,0,0,0.55,0.71,0,0,3.57,0
 84-94,0,0,2.06,0,0,0,0,0,0,3.12,0,0,0,5.81
108-118,0,0,0,0,0,0,0,0,0,0.43,0,0,0,1.68
120,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0
