stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,37.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.19,0,0,9,0,0,0,0,0,0,0,0,26.11,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.96,0,0,0,5.62,0,0,12.48,0,0,0,0
 14-21,0,0,0,3.1,0,4.3,0,0,1.34,1.79,0,4.87,0,2.79,12.68,0,0,0,1.09,0,0.95,0,0.86,4.08,0,0
 24-34,0,0,0,0,0,1.92,0,0,0,0.77,0,3.1,0,0.6,22.57,0.63,0,0,0,0,0,0,0,3.61,0,0
 36-46,0,0,0,0,0,1.36,0,2.41,0.61,0,0,2.03,0,1.6,13.34,0,0,1.8,0,1.09,0,0,0,11.51,0.71,0
 48-58,0,0,0,0,0,2.53,0,0,0.46,0,0,7.43,0,0.46,12.25,0,0,0,0,0,0,0,0,5.36,0,0
 60-70,0,0,0,0,0,0,0,9.06,0,0,0,14,0.64,0,5.02,0.96,0,0,0,0,0,0,0,0,0,0.59
 72-82,0,0.62,0,1.36,0,5.52,0,1.62,2.39,0,0,20.1,0,0.76,17.05,0,0,0,0,0,0,0,0,9.03,5.73,0
 84-94,0,0,0,0,0,10.66,0,0.75,2.72,0,0,11.83,0,3.99,2.52,0,0.77,0,0,2.67,0,0,0,2.79,0,0
 96-106,0,0,0,8.97,2.21,5.69,1.9,1.05,8.01,0,0,30.49,0,0,2.4,0,0,0,0,0,0,0,0,3.98,0,0
108-118,0,3.62,0,2.68,0,2.43,0,2.36,1.09,0,1.11,3.1,0,0.52,15.71,0,1.77,0,0,0,0,0,0,1.03,6.36,0
120,0,0,0,5.53,0,7.82,0,0,2.23,0,0,14.1,0,0,16.08,11.22,0,5.84,0,1.06,0,0,0,0,0,0
