stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,30.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,24.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.65,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.72,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.52,13.52,0,0,21.84,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.18,1.93,0,2.91,0,0,0,0,0,0,0.92,0,0,0,0,0,0,7.2,0,0,3.07,19.83,0,0.87,0,0,0,0,2.07,0,1.17,5.63,0,0,0,1.86,0,0
 24-34,0,0,0,0.73,8.3,0.67,0,3.42,0,0,0,0,0,0,2.15,0.67,0.65,0,0,0,0,11.12,3.63,0,7.08,47.98,1.15,0,0.68,0,0,2.57,0,0,0,2.18,4.91,0,0,2.03,0,0.93
 36-46,0,0,0,0,19.73,0,0,4.14,0,6.03,0.82,2.93,0.58,0,2.31,13.33,0.63,0,1.19,0,0.91,47.07,0,0.77,6.39,57.35,0,1.51,0,0,1.55,5.62,0,0,0,0,11.69,0,0,3.57,0,11.36
 48-58,0,0,0.44,0,2.06,0,0,12.09,0,5.04,1.88,20.66,0.38,0,1.02,2.83,10.77,2.2,0.86,0,2.3,52.38,1.16,0,3.52,81.25,0,1.63,0,0,1.17,7.82,0,0,0,0,9.34,0,0,11.81,0,0.54
 60-70,0,0,0,0,5.36,0,0,29.29,0,2.61,9.1,14.52,0,2.38,0,6.45,1.79,0,0,0,0,47.38,0,2.84,3.72,95.34,0.68,0,0.84,0,4.78,20.91,0,3.74,0,0,2.34,0,2.83,18.26,9.29,0
 72-82,0,0,3.02,0,8.04,2.4,0,18.01,0,0,7.43,39.03,0.63,1.12,4.32,12.53,3.57,3.28,3.7,0,0,195.94,3.13,9.12,15.55,78.62,4.93,2.33,0.91,0,0,43.66,0,0,0,0,17.42,0,7.6,17.78,3.42,8.63
 84-94,0,0,0,0,12.5,10.1,0,14.55,1.56,2.04,0,18.55,4.69,0,5.81,22.8,3.51,1.87,0,0,8.72,130.19,0.76,19.32,12.62,18.06,0,0.88,5.11,0,0,97.39,0,5.12,0,0,0,5.32,13.95,25.33,2.63,8.09
 96-106,0,0,3.67,0,27.82,10.83,0,47.92,0.94,1.53,1.91,22.98,12.4,0,8.19,31.47,5.39,3.18,4.43,21.37,1.15,161.44,12.49,8.02,11.47,46.48,1.77,2.27,4.18,0,9.63,204.79,0,0.61,0,0,1.45,3.54,4.99,37.54,12.46,5.42
108-118,0,0,1.01,0.74,42.98,2.31,5.87,46.36,2.79,6.01,12.39,38.5,5.56,0,0.52,25.42,3.83,15.44,2.29,2.44,7.48,175.55,9.88,14.25,20.83,63.59,0,6.75,3.85,0,13.17,125.22,0,1.87,0,0,0.7,1.32,2.29,42.79,4.62,12.05
120,0,0,3.29,0,57.68,8.97,0,20.04,3.81,11.22,25.28,49.34,19.52,0,13.42,88.74,18.22,11.6,4.94,5.17,2.87,329.3,18.24,34.12,13.69,137.48,0,12.5,14.62,0,49,174.42,0,6.7,0,0,49.41,0,5.97,56.21,6.37,3.64
