stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,0,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.49,0,0,0,0,0,0,0,0,0
 10-12,0,0,39.18,0,0,12.93,0,0,0,0,0,0,0,0,0,1741.09,0,0,18.25,3.1,0,0,0,0,0
 14-21,0,0,0,237.33,0.91,3.12,0,0,0,0,4.65,0,0,0.92,0,27.3,1.37,0,0,0,0,7.5,0,1.14,0
 24-34,0,0,0,12.31,1.27,0,0,0,0,0,37.19,2.36,1.7,16.47,5.12,32.98,4.79,0.64,0,0,1,2.83,0,0.84,0
 36-46,0,0,0,3.72,0,0.76,0,0,0,0,26.72,0.56,0,10.54,2.17,18.08,0,6.21,0,0,0,0.79,0,0,0
 48-58,0,0,0,5.31,0,1.08,0.54,0.44,0.79,0,69.37,0,0,4.83,6.58,21.57,0,5.93,0,0,0,0.54,0,0,0
 60-70,0,0,0,0,0,1.95,0,0,0,0,69.07,0.58,0,10.11,3.81,2.04,0,0,0,0,0,0,0,0,2.79
 72-82,0,0,0,5.82,6,3.43,0,0,0.64,0,53.77,2.03,2.08,3.02,9.44,8.4,0,0,0,0,0,0,1.18,0,4.81
 84-94,0,0,1,1.35,0,7.01,0.56,0,2.19,0.96,90.2,1.33,1.98,5.63,1.84,4.1,0,1,0,1.72,0,0,0,0,0
 96-106,0,0,0,2.23,0,0,0,0,0,0,89.86,2.17,0,6.85,8.22,7.64,1.62,0,0,0,0,0,0,2.28,0
108-118,0,0,0.68,6.57,3.08,1.25,1.33,0.68,2.87,0,81.13,0.51,1.15,3.79,0.98,8.34,0,0.43,0,0,0,0.44,1.76,1.68,0
120,0,0,0,0,1.22,0,0,0,0,0,141.83,0,0,0,0,3.32,0,3.16,0,1.68,0,0,0,0,0
