stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.3,0,0,0,0,12.05,0,0,0,0,0,0,0,0,27.39,0,0,17.69,0,0,0,0,0,0,0
 10-12,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.52,0,0,9.7,0,0,0,0,0,0,0
 14-21,0,0,2.97,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.83,5.2,0,0,0,2.64,1.75,0.97,0.84,0,0,0
 24-34,0,0,6.31,0,0,0,0,0,0,0,2.45,0,0,0,0,0,0,0.76,7.03,0.87,2.8,0,8.17,0,0,1.05,0,19.89,3.2
 36-46,0,0,11.59,0,3.69,2.25,0,0,0,0,0,0,0,0,0,2.54,0,0,18,0.6,0,0,32.96,0,0,0,0,1.67,0
 48-58,0,0,15.62,0,2.08,0,0.76,0.68,0,0,0,0,0,0.41,0.47,5.38,0,0,6.92,0,0.59,0,21.63,0,0,0,0,1.1,0
 60-70,0,0,8.82,0,12.46,3.28,0,3.2,3.09,0,0,0.65,0,0,0,0.6,0,0.68,16.65,0,0,0,20.19,0,0,0.7,0,5.2,0
 72-82,0,0,4.15,0,1.76,6.56,0,2.11,0,0,0,1.2,0,0,0,3.47,0,0,4.77,0,0,0,12.03,0,0,0,0,2.96,0
 84-94,0,0,9.83,0,6.05,0.66,0,0.89,0,0,0,0.85,0,0,0,0,0,0,9.41,0,0,0,31.91,0,0,0,0.98,0.88,0
 96-106,0,0,0,0,0.99,2.75,0,0,0,0,1.3,0.89,1.12,0,0,0.7,2.92,0,0.81,0,0,0,21.39,0,0,0,0,0,0
108-118,0,0,2.67,0.54,0,0.54,0,0,0,0,0,0.94,0,0,0,4.38,0,0,4.22,0,0,0,17.49,0,0,0,0,4.86,0
120,0,0,25.06,0,0,1.8,0,3.86,0,0,0,0,0,0,0,0,0,1.81,27.6,0,0,0,9.46,0,0,0,0,0,0
