stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,54.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.32,0,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,12.99,0,0,0,0,0,0,5.09,0,0,0,0,0
 14-21,0,2.19,68.58,0.92,4.41,0,0,0,0,1,0,0,0,0,0,0,2.08,0,0,4.66,31.35,0,2.07,0,0,0,1.89,0,0,0.91,8.65,0,0,0,0,0
 24-34,0,0,254.13,0,2.03,0,22.2,0,3.64,0,0,0,0,1.01,0,0,6.87,0.69,0,4.86,53.31,0,0,0,0,4.51,0,2.86,0,0,13.29,0,0,9.08,0,0
 36-46,0,0,199.43,0,9.95,3.57,42.85,0,5.64,0,0,0,0,0.79,0,0,7.45,0,1.14,0,28.86,1.4,0,0,0,0.57,0,0,0,0,10.97,0,0,0.81,0,8.65
 48-58,0,0,156.38,0,8.15,0.51,47.04,0.4,3.86,0,0,0,0,0,0,1.56,1.36,0,0,0.39,25.64,0.38,0,0,0,1.62,0,0,0,0,6.23,0,0,2.12,0,0.38
 60-70,0,0,97.78,0,3.47,1.88,32.1,0,1.59,0,0,0,0,0,0,0,3.03,0,0,1.17,11.57,0,0,0,1.08,0,0,0,1.45,0,1.88,0,0,1.73,0,0
 72-82,0,0,73.31,0.52,4.13,0,40.81,0,1.57,1.24,0,0,0,0,0,0,6.49,0.57,1.13,0,33.41,0.5,0,0,0,0,0,0,0,0,0.86,0,0,1.19,2.57,0
 84-94,0,0,130.1,0.73,2.1,0,47.75,0,0,1.57,0,0,0,0.66,5.18,0,2.1,1.16,0,1.35,13.84,0.76,0,0,0,0,0,0,0,0,0.83,0,0,4.24,0,0
 96-106,0,0,149.18,0,4.97,6.55,34.09,0,7.05,4.56,0.81,0,1.25,0,0,0,5.23,1.24,0,0,10.86,5.64,0,0,0,5.63,0,0,0,0,1.89,0,0,0.65,0,0
108-118,0,0,184.37,0,6.73,3.97,64.06,0,2.85,0.95,0,0,1.72,0,0,0,9.9,0.47,0,0.77,25.77,0.57,0,0,0,0.42,0,0,0,0,0,2.41,1.53,4.23,0,3.21
120,0,0,185.96,1.25,16.75,1.33,46.11,0,0,0,0,5.28,0,0,0,0,2.21,1.49,0,4.44,22.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
