stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,gut,heart,immune,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,0,87.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0
  7-9,0,0,3.57,0,0,0,0,0,0,0,0,0,0,18.18,0,0,11,0,0,0,0
 10-12,0,15.67,0,0,0,0,0,0,0,0,0,0,0,16.85,0,0,21.47,0,5.68,0,0
 14-21,0,0,0,1.63,0,0,0,1.2,0,0,2.09,1.23,0,4.92,0,0.86,0,4.46,0.94,0,0.96
 24-34,0,0,0,0,0,0,0,0,0.89,0,0,3.28,0,6.74,2.12,0,0,3.08,0,0.62,4.33
 36-46,0,0,0,8.46,0,0,0,0,0,0,0,0,0,3.8,1.14,0,0,1.02,0,0,0.75
 48-58,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0.4,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,1.99
 72-82,0,0,0,0,1.44,0,8.83,0.66,0,0,0,0,0.66,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.59,0,0,0,3.56,0,0,0,0,0,0,0,3.64,0,0,0
 96-106,0,0,0,0,8.65,0,0,0,0,0.58,0,0,0,0,0,0,0,1.81,0,0,0
108-118,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0.81,0,0,0,0.57,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0
