stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0
 14-21,208.1,2.9,0,1.19,0,0,1.94,0,0,0,0,0,0,0,0,0,0,14.85,0,6.37,57.53,0,1.37,0,0,0,0,6.14,3.55,2.04,0,0,0
 24-34,152.69,0,0.6,0,2.02,0,15.16,0,0,0,0,0.68,0,0,0,0,0,80.52,0,5.23,313.61,0,10.05,0,0,0,2.64,0,0,6.43,0,0.6,0
 36-46,242.64,0,0,0,1.79,0,4.69,0,23.7,0,0,0,0,0,0,0,0,93.49,0,8.98,215.47,0,11.28,0,0,0,0,0,0,3.86,6.93,0,0
 48-58,117.66,0,0,0,20.42,0,0,0,9.77,0,0,0,0,0,0,0,0,78.65,4.67,2.89,187.68,6.32,7.87,0,0,0,0,0,0,0.67,2.45,2.23,0
 60-70,8.7,0,15.06,0,9.91,0.68,3.15,2.13,46.38,0,0,0,0,0,0,0,0,98.8,75.07,0.79,404.08,0,5.92,0,0,101.7,1.91,0,0,10.81,7.19,1.47,3.08
 72-82,55.99,0,1,9.86,10.85,0,0,0,15.93,4.3,0,0,0,0,2.14,0,0,159.81,25.28,12.07,855.14,0,5.44,0,0,172.38,0,0,0,7.67,9.15,6.65,1.81
 84-94,44.26,0,13.42,0,35.37,0,5.49,0,3.93,0,0,0,0,0,4.14,0,0,119.46,28.95,11.45,638.94,0,5.35,0,0,206.27,3.25,0,0,0,0,1.85,5.8
 96-106,54.4,0,27.44,0,41.33,0,7.64,3.97,7.96,0,0,0,0,1.07,13.66,0,0,223.85,21.76,22.02,644.3,0,45.89,0,0,344.29,0,0,0,7.7,19.24,6.93,4.28
108-118,101.42,1.48,66.14,5.45,16.53,0,2.51,16.08,136.94,0,0,0,4.15,0,13.95,0,0.52,110.14,45.2,33.16,779.49,0,15.62,0,0,583.16,4.14,0,0,38.55,9.78,17.21,3.86
120,21.81,0,24.34,0,6.63,0,0,35.89,58.25,0,0,0,0,0,9.55,1.69,19.61,308.62,21.73,21.92,779.71,0,16.19,1.02,32.89,253.96,1.76,0,0,0,4.33,4.27,0
