stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,iridophores,mesenchyme,mural.cell,muscle,neural,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  5-6,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0
 14-21,0,8.43,0,1.94,0,0,0,0,0,0,7.13,2.47,0,1.15,0
 24-34,0,5.59,0,11.29,0,0,0,0,0,0,48.81,0.61,0,0,0
 36-46,0,1.3,0,6.4,0,0,0,0,0,0,125.17,1.97,0,0,0
 48-58,0,0,4.99,8.44,0.67,0,0,1.01,0,0,148.25,1.57,0,3.31,0
 60-70,0,0,0,14.6,0,3.28,0,0,0,0,146.89,14.69,0,6.75,0
 72-82,0,0,6.28,8.89,0,1.53,0,0.64,0,0,116.86,7.05,0,23.66,3.97
 84-94,0,0.68,3.87,4.23,1.74,1.22,0.67,1.03,0,0.99,115.61,3.85,0,22.1,0
 96-106,0,0,3.43,7.08,0,0,0,0,0,0,96.89,4.47,0,0,0
108-118,0,0.76,7.89,28.71,0,0,0,0,1.36,0,208.34,9.43,0,5.93,0
120,0,0,9.11,25.4,0,0,0,0,0,0,230.61,6.81,2.43,0,0
