stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,11.1,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,48.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.15,0,12.46,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3,0,6.22,0,0,0,0,0
 14-21,0,0,0,0,1.9,0,0,0,0,0,12.13,0,0,0,0,0,0,1.61,0,0,0,0,0,3.04,2.06
 24-34,0,0,0,0,11.88,0,0,0,0.87,0,83.55,0,0,0,0,0,0,9.61,0,0,0,0,0,2.39,24.25
 36-46,0,0,0,19.82,1.38,0.85,0,0,0,0,200.25,0,0,2.14,0,0,0,16.51,0,0,0,0,0,1.92,4.29
 48-58,0,0,0,0.44,0.54,7.69,0,0,1.26,0,242.65,0,0,0,0,0.74,0,13.59,0.94,0,0,0,0,2.93,7.42
 60-70,0,0,0,0,1.29,5.46,1,0,0,0.6,316.03,0,0,1.49,0,0,0,15,0,0,0.68,0,2.37,0.59,13.09
 72-82,0,0,0,5.29,6.64,0,3.39,0,3.1,17.21,387.53,0.68,0,2.63,0,0,1.4,33.28,0,0,0.9,0,0,6.44,0.57
 84-94,0,0,0,1.49,1.01,2.31,0,0,0,20.7,437.1,0,0,2.16,1.44,0,0.93,23.44,0,0,0,0,0,2.26,2.65
 96-106,0,0,0.7,8.06,11.73,1.03,0,0,1.31,24.93,516.91,0,4.59,1.71,0,0,0.81,8.31,0,0,0.76,1.05,0,0,6.87
108-118,0,0,0,15,0.47,0,0,0.52,2.46,27.86,566.93,0,0,4.9,0.53,0,0,40.85,0,0,0.93,0,0,0,4.94
120,0,0,0,14.88,13.35,0,0,0,3.29,61.93,755.98,4.01,0,18.07,0,0,17.11,53.52,0,0,0,0,0,12.38,8.77
