stage,fast.muscle,glial,gut,lateral.line,mesenchyme,neural,vasculature
 24-34,0,0,0,0,0,2.23,0.65
 36-46,0,0,0,0,0,3.52,0
 48-58,0,1.38,0,0,0,0.67,0
 60-70,0,0,0,0,1.17,0,0
 72-82,0.65,0,0,0,0,1.03,0
 96-106,0,0,0,0,0,5.64,0
108-118,0,0,2.9,0.98,0,5.83,0
120,0,0,0,0,0,30.81,0
