stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,heart,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle
  3-4,67.86,1191.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.93,0,0,0,0
  5-6,41.3,594.54,0,0,0,0,0,0,0,0,0,45.01,6.07,0,0,0,18.14,0,0,0,0
  7-9,9.5,0,0,0,0,0,0,0,0,0,0,34.55,0,0,0,39.97,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,74.23,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,29.64,0,0,0,1.17,20.25,0,1.13,6.83,0.87,0,9.01,0,72.1,0
 24-34,0,0,0,0,0,0,28.32,0,0,0,0,13.6,0,3.26,3.73,0,0,15.17,0,50.56,0
 36-46,0,0,0,0,0,0,19.87,0,0,0.77,0.86,11.45,0,3.81,11.37,0,0,12.42,0,47.53,0
 48-58,0,0,0,0,0,0,32.48,0,0,2.07,0.47,21.77,0,9.29,0.55,0,0,11.44,0,46.04,0
 60-70,0,0,0,0,0,0,27.96,0,0,0,0,10.52,0,3.02,3.67,0,0,11.06,0,14.9,0
 72-82,0,0,0.61,0,0,0.8,34.38,0,0,0,0,20.06,0,9.72,6,0,0,1.23,0,5.73,0.87
 84-94,0,0,1.01,1.01,1.33,4.5,21.6,1.68,0,0.98,0,1.77,0,9.81,3.31,0,0.72,0.93,0,11.51,0
 96-106,0,0,0,0,0,1.95,23.06,0,0.92,4.51,0,20.71,0,10.19,6.15,0,0,0.58,0,17.32,0
108-118,0,0,0,0,0.92,3.41,41.05,0,0,0.51,1.14,4.91,0,8.31,5.33,0,0,3.28,0.66,6.25,0
120,0,0,0,0,0,0,38.28,0,0,11.43,0,0,0,2.72,14.51,0,0,4.05,0,1.17,0
