stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.39,952.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9,0,0,0,0,0,0,0,0,0
  5-6,27.9,852.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.89,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,17.99,0,0,3.62,0,0,0,0,0,40.92,0,0,0,0,0,0,0,0,0,0,309.61,3.62,0,0,81.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.39,0,0,21.48,0,0,0,0,0,49.57,0,0,0,0,0,0,0,0,0,0,145.46,0,0,0,39.19,0,0,0,18.52,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,10.06,3.42,21.7,0,0,0,0,0.81,10.07,0,0.81,0,0,4.19,19.02,0.83,0,0,1.21,14.21,0,0,0,1.8,0,8.46,1.32,0,0,0,0.87,0,0,0,24.15
 24-34,0,0,0.66,0,17.6,0,41.44,0,0,0.62,0,0,0,0,0,1.32,0,0,89.05,6.08,0.69,0,1.58,31.32,0,0,0,0,0,5.71,0,0,0,0.62,1.46,0,7.65,0,58.4
 36-46,0,0,0.74,0,9.88,0,59.04,0,0.58,0,1.02,0,0,0,0,5.54,0,0,56.71,4.65,0,0,0,61.72,0,1.49,0,0,0,2.19,0,0,0,0,5.24,0,64.35,0,50.38
 48-58,0,0,0,0,17.46,0,56.2,0,6.78,0,10.76,0,0,0,0,10.72,0,0,47.95,4.76,0,0.63,0.54,96.2,0,1.65,0.64,0,0,7.12,0,0,0,0,3,0,73.31,0,54.58
 60-70,0,0,0,0,34.16,0,270.37,1,2.86,0.87,26.07,0,4,0,0,38.26,0,0,28.2,12.79,3.18,2.61,3.63,195.81,5.55,7.66,0,0,0,6.48,0,1.41,0,0,2.85,0,61.92,0,78.05
 72-82,0,0,0,0,9.22,0.52,532.35,0,4.84,0.98,45.24,0.67,0,2.2,0,22.66,0,0,28.89,6.55,0,0,9.44,218.63,0,1.07,2.11,0,0,0,0,0,0,0,0.9,0.84,122.98,0,47.07
 84-94,0,0,1.59,0,14.74,0,435.44,0,3.74,0,45.57,1.25,0,0,0.82,28.73,0,0,39.82,11.07,0,0,0,154.98,0,1.13,0,0,0,7.57,0,0,0,0,0.79,0,50.68,4.44,44.97
 96-106,0,0,0,0,9.4,1.42,599.27,0,4.49,0,64.96,0,0,0,0,14.5,0,0,15.42,6.32,0,0,0,152.07,0.85,3.78,0.85,0,1.6,1.23,0,0,0,0,0,0,146.21,1.78,41.02
108-118,0,0,0,0,11.78,0,369.06,0,6.39,0,59.36,0,0,0,0,35.4,0,0,17.48,19.62,0,0,0,148.03,0,1.63,0.5,0,3.67,7.36,0,0,1.73,0,4.62,0,62.77,0,24.82
120,0,0,0,0,12.45,0,273.6,0,7.5,0,38.13,0,0,0,0,27.05,5.32,0,6.83,22.53,0,0,0,214.95,0,0,2.59,0,0,7.09,0,0,0,0,0,0,88.75,0,4.34
