stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,199.62,3417.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.25,0,0,0,0,0,0,0,0,0,0
  5-6,280.07,2714.22,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.86,0,0,0,29.39,0,65.57,0,0,0,0,0,0,0,0,0,0
  7-9,64.06,25.76,0,57.72,0,0,104.19,0,0,0,0,0,38.59,0,0,0,0,0,0,0,0,0,0,0,1046.59,39.82,0,0,410.69,0,3.26,7.76,0,0,0,0,0,0,0,0,0
 10-12,0,35.04,0,56.01,0,12.24,39.51,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,896.79,24.32,0,0,316.73,0,0,0,0,42.55,0,0,0,0,0,0,0
 14-21,0,0,2.8,1.77,9.15,8.18,4.06,0,0,0,0,0,0,2.06,0,0,0,0,0,0,10.55,0,0,4.09,98.52,2.93,1.71,1.76,1.73,0,1.48,0,17.16,1.28,2.68,6.84,46.08,0,0,0,1.79
 24-34,0,0,0,0,1.48,0,5.94,0,0,0,7.22,0,0,1.62,5.38,0,0,0.68,0,0.62,16.63,0,0,4.94,279.89,0,0,2.29,0,0.99,2.6,0,0,0,0,1.93,59.71,0,6.61,0,0
 36-46,0,0,0,0,1.68,0.6,21.31,0,0,0,13.6,0,0,0,4.22,0,0,0,10.02,4.66,21.04,0,0,2.83,282.73,0,0,0,0,0,12.94,0,0,0,0,0,63.63,0,1.59,0,7.53
 48-58,0,0,0,0,0,0,71.97,0,0.4,0,29.56,0,0,0,3.26,0,0,0.41,1.98,5.06,16.88,0,0,3.24,306.61,0,0,0.82,0,0,14.54,0,0,0,0,0,75.18,0,2.16,0,3.53
 60-70,0,0,0,0,0,0,204.01,0,5.64,1.17,21.49,0,0,0,8.8,0,0,0,0,0,20.62,0,6.36,2.42,220.74,0,0,5.17,0,0,8.06,0,0,0,0,0,23.94,0.82,2.29,0,0
 72-82,0,0,0,0,0,0,122.04,0.55,0,0,13.57,0,0,0,0.83,1.73,0,0,0,0,19.94,0,1.19,1.46,179.53,0,0,1.33,0,3.59,7.06,0,0,0,0,0,11.82,0.49,0,0,3.3
 84-94,0,0,2.49,0,9.73,0,127.39,0,2.27,1.87,18.26,0.57,0,0,5.89,0.8,0.87,0,0.58,0,27.51,0.87,0,11.37,141.5,0,0.95,1.99,0,0,35.06,0,0,0,0,0,9.16,0,2.66,0,2.28
 96-106,0,0,0,0,2.57,6.85,110.65,0,0.56,11.03,16,1.38,0,1.72,4.09,1.12,0.6,2.82,0,0,21.28,2.07,0,1.6,129.68,0,0,4.39,0,0,19.58,0,0,0,0,0,5.24,0.58,3.92,1.72,0
108-118,0,0,0,0,3.56,0,98.03,0,1.36,0,15.22,0,0,1.42,3.61,0,0,0,2.8,0,11.18,0,0,2.11,124.03,0,0,1.74,0,0,26.21,0,0,0.5,0,0,1.84,4.34,3.59,0,5.76
120,0,0,0,0,2.77,0,60.23,0,1.09,2.35,4.38,0,0,0,2.26,1.4,0,0,6.84,0,18.49,0,0,0,141.06,0,0,5.47,0,0,4.73,0,0,0,0,0,8.83,0,4.18,0,0
