stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,12.81,0,0,0,0,0,0,0,0,37.05,0,15.27,0,0,0,0,0,0
 10-12,0,0,3.13,0,0,3.05,0,0,0,0,0,29.75,0,22.25,0,0,0,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,0,0,12.03,0,0,3.37,2.15,7.24,0,0,0
 24-34,0,1.05,0,0,0,0,0,1.95,0,0.9,0.6,15.89,0,0,2.99,0,0.69,0,0.7,0
 36-46,0,0,6.13,0,1.83,0,0,0,0,2.38,0,2.84,0,0,0,0,0,0,0,0
 48-58,0,0,1.69,0,0,0,0,0,0,1,2.94,2.75,0,0,0.63,0,1.12,0,0,0
 60-70,0,0,1.04,0,1,0,0,0,0,1.06,0,7.25,0,0,0,0,4.33,0,0,0
 72-82,0,0,0.54,0,1.89,0,0.53,0,0,9.14,0.75,0.54,0,0,0,0,0,0,0.64,0
 84-94,0,0,2.16,0.57,1.68,0,0,0,0,0,0,5.15,0,0,0,0,0,1.95,0,0
 96-106,0,4.36,6.94,0,0,0,0.73,0,0,2.25,0,5.8,0,0,0.56,0,0,0,0,0
108-118,0,0,8.34,0,0,0,0,0.46,0.42,11.27,0.42,6.22,0.5,0,0,0,0,0,2.31,1.09
120,0,0,6.78,0,9.17,0,0,0,0,0,0,0,0,0,0,0,3.82,0,0,0
