stage,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,glial,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,4,0,0,0,0,0,0,23.24,0,0,3.29,0,0,0,0
 10-12,5.93,0,0,5.55,0,0,0,0,0,0,66.38,13.66,0,4.98,0,0,0,0
 14-21,0,2.06,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0
 24-34,0.83,0,0,0,0,1.48,0,0,0,0,4.74,0,0,0,0,0.73,0,0
 36-46,0,0,0,1.58,0,0,0,0,0,0,7.52,0,0,0,0,0,0,0
 48-58,0,0,0,1.03,0,0,0.94,0.76,0,0.55,8.95,0,0,0,0,0,0.45,0.67
 60-70,0,0,0,0,0,7.21,0,3.05,0.99,0,3.81,0,0,0,0,0,0,0
 72-82,0,0,0,0.9,0,0,0,4.4,0,0,1.1,0,1.03,0,0,0,0,0
 84-94,0,0,0,0.66,0,0,0,6.78,0,0,0,0,0,0,2.93,0,0,0
 96-106,0,0,0,0,1.46,0,0,13.9,2.5,0,0,0.85,0.84,0,0,0,0,0
108-118,0,0,1.13,0.58,0,2.7,0,18.66,0,0,4.82,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,16.86,14.92,0,0,0,0,0,0,0,0,0
