stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,xanthophores
  5-6,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,4.92,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99,0,6.49,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,0,0,0.6,0,2.69,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0
 48-58,0,0,5.87,0,0,15.14,0,0,0,0,6.25,0.75,0,14.6,0,0,0,0,3.48,0,0
 60-70,0,0,36.15,0,0,235.71,0,0,8.57,0,0,0.61,0,3.15,0,0,0,0.62,1.1,0,0
 72-82,0,0.77,26.54,0,0,512.39,0,0,7.55,0,1.8,0,1.86,15.61,1.2,0,0.6,0,1.14,0,1.1
 84-94,0,2.86,57.9,0,0,554.4,0,0,4.05,0,0,7.13,0,18.92,0,0,0,0,2.93,0,0
 96-106,0,0.58,68.61,0.94,0.57,874.64,1.2,0.56,4.63,0,0.69,4.41,0,37.14,0,0,0,0,0,0,0
108-118,0,0,29.2,0,0,788.58,0,0,21.08,1.74,8.98,3.2,0,19.05,0,0,0,0.55,1.94,2.42,0
120,0,1.38,27.02,0,0,927.17,0,0,19.3,0,0,0,0,27.45,0,0,0,0,0,0,0
