stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.17,0,0,0,0,0,0,0,0
 10-12,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,16.5,7.26,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0.83,0,0,0
 24-34,0.88,0.95,3.07,0,0,0,0,2.15,0.63,0,0,0.68,0.82,1.07,4.84,29.15,0,0,0,0,0,6.93,0,0.78
 36-46,0,0,7.97,0.68,0,0,0,0,0,0,0,0,0,0.57,0.75,21.26,0.66,0,0,0,0,10.78,0,0
 48-58,0,0,8.57,0,0,0,0,0,0,0,0,0,0,6.73,1.72,19.54,0,0.82,0,0,0,5.89,0,2.83
 60-70,0,0,43.34,0,1.03,0,0.97,2.9,0,3.59,0,0,0,2.4,0.58,15.79,0,0,0,0,0,9.55,0,0
 72-82,0.77,0,21.95,0,0,0,3.69,0,0,0,0,0,0,5,0.63,13.28,0,0.51,0,0,0,0,0,0
 84-94,0,0,11.71,0,0.56,0,1.95,0,0,0,0,0,0,4.8,1.23,5.91,0,0,0,0,0,0,0,0
 96-106,0,0,11.05,0,0,0,0,0,0,0,0.84,0,0,1.46,0,19.87,0,0,5.39,0,0,0,1.08,0
108-118,5.47,0,17.3,0,0.46,1.85,4.08,0,0.43,0,0,0,0,14.15,10.4,10.77,0,1.97,0.63,0,0,0,0,0
120,1.43,0,46.79,2.34,0,0,0,0,0,0,0,0,0,3.44,0,27.02,0,0,1.04,2.12,0,0,0,0
