stage,epidermis,eye,glial,immune,lateral_line,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,9.26,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.6,0,0,0,0
 14-21,0.87,0,0,0,0,0,0.81,4.24,0,0,0,0,0
 24-34,0.88,0,0,0,0,0,0,8.41,0,0,0,0,0
 36-46,0,5.28,0,0,0,0.61,1.14,12.98,0,0,0,5.81,0
 48-58,0,5.45,1.75,0,1.05,0,0,4.71,0,0,0,0,0
 60-70,0,8.19,0.87,0,0,0,0,1.58,0,0,0,0,0
 72-82,0,4.63,0.65,0,0,5.45,0,0.76,0,0,0,2.18,0
 84-94,0,5.56,1.05,0,0,2.71,0,5.68,0,0.84,0.7,0,0
 96-106,0,0,0,0.69,0.94,0,0,0,0,0,0,0,1.09
108-118,1.95,0,0,0,0,0,0,5.09,0,3.18,0,0,0
120,5.43,0,0,0,0,5.31,0,3.65,0,0,0,0,0
