stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
 14-21,0.9,0.94,0,22.04,0,2.07,0.84,0,41.28,4.79,1.05,68.14,0,0,0.83,0,1.88,33.45,9.08
 24-34,0,1.32,1.42,8.13,0,0.84,0.82,4.48,33.11,9.77,0,61.27,0,0,0,1.38,0,24.49,24.61
 36-46,0,0,0,1.21,0,0,0,3.5,20.33,1.43,0.83,29.4,0,0,0,0,0,1.84,6.83
 48-58,0,0,0,14.56,4.81,0,0,9.73,2.48,0.41,0,9.23,0,0,0,0,0,2.53,1.92
 60-70,0,0,0,0,0,0,0,3.71,0,0.68,1.58,11.27,0,0,0,2.82,0,0,5.08
 72-82,0,0,0,3.27,0,0,0,1.63,0,4.6,0,4.14,0,0,0,0,0,0,0
 84-94,0,0,0,3.79,0,0,0,2.89,3.13,1.04,0,2.53,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.82,0,1.4,1.71,10.65,0,1.2,0.61,5.26,0,0,0,0,0
108-118,0,0,0,0,0,3.73,0,4.33,0.74,17,0,5.15,0,0.9,0,0,0,0,0
120,0,0,0,0,0,0,0,1.11,0,6.93,0,18.35,0,0,0,0,0,0,0
