stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,90.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0,0,0,0,37.35,0,0,20.08,0,0,7.58,0,0,0,0,0,0,0,0
 10-12,4.32,0,14.33,0,0,0,37.7,0,0,0,7,0,0,0,0,0,0,0,0,152.61,22.42,0,53.05,0,0,5.47,0,0,0,5.09,0,0,0,0
 14-21,0,0,0,0,0.81,0,2.94,0,4.3,0,0,0,0,0,0,0,4.63,0,2.72,51.47,0,0,3.98,0,0,0,7.27,0,2.97,13.77,0,1.06,0,0
 24-34,0,0.84,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,6.08,0,1.29,57.52,0,1.36,0,0,0,0,0,0,0,13.78,0,6.76,0,0
 36-46,0,0,0,0,0,0,4.08,0.81,0.85,0,0,0,0,0,0,2.72,6.07,0,1.79,66.93,0.71,0,0,0,0,0,0,0,0,24.15,0,3.02,0,0
 48-58,0,0,0,0,0,0,18.56,4.01,0.47,0,0,0,0,0,0,4.69,11.33,0,0.91,78.05,0,0.41,0,0,1.18,0,0,0,0,17.37,0,3.17,0,0
 60-70,0,0,0,0,0,0,41.39,0,2.12,0,0,0,0,0,0,0,8.74,0,0,101.88,0,2.44,0,0,0,0,0,0,0,15.47,0,2.26,0,0
 72-82,0,0.9,0,0,0,0,32.82,0.59,4.44,0,0,1.9,0,0,4.25,0,18.12,1.42,0,99.12,1.8,1.88,0,0,0,0,0,0,0,8.89,0,5.24,0,2.24
 84-94,0,1.33,0,0,0,0.87,6.59,0,0,0,0,0.7,0,0.96,0,0,22.46,0,2.5,28.9,0,1.9,0,0,0,0,0,0,0,3.41,0,0,0.98,0
 96-106,0,0,0,5.98,0,0,18.12,1.14,1.75,0,0,0,0,1.08,0,0.57,10.99,0,0.94,39.08,0,1.44,0,0,0,0,0,0.61,0,0,0.83,6.9,0,0
108-118,0,0,0,2.82,0,0,33.3,0,3.97,0.45,0,1.47,0.65,2.39,0.45,0.52,16.47,0,0.9,69.18,0,1.35,0,0,0,0,0,0,0,1.93,0,1.4,0,0
120,0,0,0,0,0,0,19.78,0,0,0,0,0,0,1.17,0,1.79,36.56,0,0,84.91,0,0,0,4.22,0,0,0,0,0,11.96,0,8.11,14.29,3.85
