stage,blastomeres,erythrocytes,eye,glial,gut,hatching.gland,mesenchyme,neural,olfactory,periderm,spinal.cord
  3-4,63.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,11.49,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.57,0,0,0
 24-34,0,0,1.34,0.78,0,0,0,7.79,0,0,0
 36-46,0,0,0,0,0,0,0,7.31,2.59,0,1.72
 48-58,0,0,0.75,0,0,0,0,0.38,0,0.6,0
 60-70,0,0,1.07,0,0,0,0,0,0,0,1.57
 72-82,0,0,2.91,0,0,0,0.92,0,0,0,0
 84-94,0,0,0.81,6.67,0,0,2.68,1.05,0,0,0
 96-106,0,0,0,0,0,0,3.03,1.6,0,0,3.56
108-118,0,3.17,3.89,0,8.57,0,0,8.93,0,0,0
120,0,5.35,4.08,0,0,0,0,0,0,0,0
