stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,11.43,26.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0
  5-6,0,43.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96,0,0,14.84,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,40.08,0,0,3.89,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.02,0,0,0,1.3,0,0,0,5.81,0.88,1.11,0.83,2.59,0,0,0,0,0,0.93,0,0,0,0,0,0
 24-34,0,0,0,0.92,0,0,0,0,0,0,0,0,0,39.32,0.8,1.6,7.17,0,0,0,0,0,0,0,1.81,0,1.21,0,6.21,0
 36-46,0,0,0,0,0,7.22,0,0,0,0,0,0,0,20.18,1.48,0,2.76,0,0,0,0,0,0,0,0,0,2.66,0,0,0
 48-58,0,0,0,0,0,36.81,0,0,0.39,7.92,0.77,0,0,41.41,1.34,0,26.16,0,0,0,0,0,0,0,0,0,0.44,0,0,0
 60-70,0,0,0,0,0,102.32,0,0,0,5.49,0,0,0,13.29,1.73,0,12.86,0,0,0,1.13,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.4,144.57,0,0.98,0,5.75,0,0,0,67.26,0,0,44.29,0,0,0,0,0,0,0,0,0,2.41,0,0,0
 84-94,0,0,0,0,0,402.14,0,0,0,1.19,0,0.62,0,146.87,3.75,0,64.23,0,0.59,0,0,0,7.01,0,0,1.57,0.74,0,0,0
 96-106,0,0,0,3.39,8.89,503.97,0,0,0,60.49,0,0,0.63,167.82,4.59,1.81,44.96,0,0,0,0,6.59,0,0,0,0,0,2.52,0.68,8.03
108-118,0,0,0,7.05,13.26,642.02,0.64,0,0,21.47,0,0,0,212.47,23.58,0,37.87,0.54,0,0,0,1.67,0,0,0,0,15.82,0,0,0
120,0,0,0,0,1.08,450.2,0,0,0,5.4,0,0,0,127.03,5.11,3.19,55.18,0,0,0,0,0,0,0,0,0,0,0,0,0
